"Service","Glue($)","S3($)","CloudTrail($)","CloudWatch($)","EC2-Instances($)","Relational Database Service($)","Elastic File System($)","Managed Workflows for Apache Airflow($)","Key Management Service($)","Config($)","DynamoDB($)","EC2-Other($)","GuardDuty($)","Kinesis Analytics($)","DMS($)","Redshift($)","Lambda($)","VPC($)","Elastic Container Service for Kubernetes($)","Transfer Family($)","Athena($)","Route 53($)","Elastic Load Balancing($)","Kinesis($)","Neptune($)","SQS($)","Secrets Manager($)","Cost Explorer($)","Identity and Access Management Access Analyzer($)","SageMaker($)","EC2 Container Registry (ECR)($)","Elastic MapReduce($)","Kinesis Firehose($)","SNS($)","ElastiCache($)","WAF($)","SES($)","Data Pipeline($)","Service Catalog($)","Systems Manager($)","API Gateway($)","CloudWatch Events($)","Backup($)","Step Functions($)","Simple Workflow Service($)","Glacier($)","IoT($)","Tax($)","CloudFormation($)","X-Ray($)","Total costs($)"
"2025-02-10","1057.3128889295","183.9540833858","123.182537","175.4874844063","127.0580950702","124.1766279355","76.1289349941","63.9395490804","24.3521609616","41.6374","30.8385049101","32.4726269603","25.2156348127","5.9784881258","22.848","26.070030504","18.7460139354","17.2770824204","16.8","14.4","8.25894","6.0052629188","5.4001958806","5.117341692","4.7815139288","4.3114723746","3.5792499992","50.62","","3.5836000008","0.8761033758","","0.3191166354","0.2226088108","0.2285233584","0.2142857088","0.0378","0.0357142848","0.0112","0.006765","0.0005874684","0.000875","0.0000130739","0.0000016631","0.0000002299","0.0000000507","","","","","2301.4873148869"
"2025-02-11","1840.0038033398","263.4988297355","321.831353","171.5297583868","135.1857046695","115.8380015119","76.2185040535","61.9517382928","86.8738529616","55.798","30.0682444813","33.4643831612","27.5298267859","8.2771428576","22.848","26.070035952","17.5293073693","18.6678383375","16.8","14.4","7.152795","6.015162","5.4003434348","5.0751295845","4.7816989288","4.3439757726","4.2607449992","0.02","","2.8590847505","0.8767132632","","0.3262849009","0.2738854322","0.2285233584","0.2142857088","0.05431","0.0357142848","0.0098","0.00689","0.0004535822","0.000703","0.0000130739","0.0000015063","0.0000002299","0.0000000507","","","","","3386.3208377579"
"2025-02-12","2872.5521491539","270.8511234715","314.718673","199.6015986452","131.1822496281","88.5653426602","76.3390917407","61.9954283359","40.9319045328","52.3106","31.5780336386","32.8813290141","37.1573097059","8.2771428576","22.848","26.070039864","20.3345379555","20.1620215467","16.8","14.4","7.14511","6.0068761313","5.4002722006","5.2053144032","4.7811733288","4.5123917378","3.847516904","0.03","","2.2128397372","0.8767132632","","0.3398872945","0.2750215641","0.2285233584","0.2142857088","0.05001","0.0357142848","0.007","0.00684","0.001033601","0.000718","0.0000130739","0.0000017776","0.0000002299","0.0000000507","","","0","","4380.7338324005"
"2025-02-13","1703.6953442372","259.5471199941","291.367154","177.1141390402","134.3088","84.2325173527","76.420696062","62.0925340446","36.4784625312","42.082","32.4409213091","32.877575065","48.2710908373","18.7147197826","22.848","26.070044712","22.0855305573","18.0706371413","16.8","14.4","5.82377","6.0136988","5.4002004269","5.1677731434","4.7819613288","4.5251932232","3.3159157136","0.02","","1.6835493587","0.8767132632","","0.3291909748","0.2696057928","0.2285233584","0.2142857088","0.0497","0.0357142848","0.0028","0.006795","0.0043396112","0.000706","0.0000130739","0.0000014233","0.0000002299","0.0000000519","","","0","","3158.6677374342"
"2025-02-14","1294.0558054292","243.6235430821","194.139855","228.5013363244","145.970015104","83.8548220849","76.5848924769","63.3306313666","49.5278355312","39.827","34.5549645586","32.93654738","27.731508211","14.0886471713","22.848","26.07004932","23.2761171862","16.9369091354","16.8","14.4","8.286925","6.0146008","5.4003082022","5.2663305458","4.7809567288","4.6220822477","3.3579557136","0.02","","1.641072986","0.8767132632","","0.3334899494","0.4095150363","0.2285233584","0.2142857088","0.0484","0.0357142848","0.0056","0.006765","0.0102665158","0.000697","0.0000130739","0.0000003948","0.0000006897","0.0000000507","","","","0","2690.6186959117"
"2025-02-15","707.7249393395","189.1600921027","127.916949","171.3341668402","132.1778301482","83.8841635737","76.7056298318","61.7844970395","18.6239325312","27.0022","34.2959725515","32.9354586951","21.5652501184","25.0100000016","22.848","26.070053544","23.7247629349","15.662780322","16.8","14.4","4.945195","6.014002","5.4","5.1457887477","4.7799989288","4.609923186","3.2917407136","0.02","","1.2199999992","0.8767132632","","0.3160265098","0.300239868","0.2285233584","0.2142857088","0.01355","0.0357142848","0.0042","0.006795","0.0046242278","0.000694","0.0000130739","0.0000002389","0.0000006897","0.0000000507","","","","","1867.0547074236"
"2025-02-16","906.9448878056","183.37564299","134.558764","167.0367526785","134.1257135111","83.2851346116","76.7733845662","61.4347544188","25.6141995312","27.01","31.3406086013","32.9237085639","20.4548934961","25.0100000016","22.848","26.07005748","18.2667677069","15.5618243756","16.8","14.4","5.19063","6.0132544","5.4000280345","5.1410641421","4.7813651288","4.2742723798","3.2216857136","0.02","","1.2199999992","0.8767132632","","0.3046808685","0.2142756572","0.2285233584","0.2142857088","0.01671","0.0357142848","0.0056","0.006765","0.0089315301","0.000188","0.0000130739","0.0000003948","","0.0000000507","","","","","2061.0097953268"
"2025-02-17","770.1412413473","292.5065315532","414.966985","179.1744330045","140.6134618651","84.2208730608","76.8177066229","61.6956155996","206.8825995312","50.5925","35.5188190716","32.8178617152","26.1440056886","34.2497777763","22.848","25.85855598","14.2307001486","19.6813410316","16.8","14.4","18.29766","6.0152672","5.4001877608","5.108090297","4.7808005288","4.1258988274","3.3254007136","0.02","0.2","1.2199999992","0.8770612916","","0.3163638332","0.2342903931","0.2285233584","0.2142857088","0.06284","0.0357142848","0.0028","0.006765","0.0229180241","0.000707","0.0000130739","0.0000004778","0.0000002299","0.0000000517","","","","","2570.6565970506"
"2025-02-18","1587.3687799244","291.4113925112","221.582073","221.2131236719","124.4795339101","83.8110619838","76.9249440176","61.9321289855","80.5758525312","43.3905","36.9153647543","32.7108196967","31.0111987883","39.3423439329","22.848","26.070024672","26.0255183838","18.921285973","16.8","14.4","9.060655","6.0160344","5.4001403093","5.3943069568","4.7815113288","4.6477608108","3.5406957136","0.02","","1.2199999992","0.8786371056","","0.3429600406","0.3132811373","0.2285233584","0.2142857088","0.07952","0.0357142848","0.0084","0.006765","0.0048732439","0.000712","0.0000130739","0.0000008778","","0.0000000497","","","","","3099.928737136"
"2025-02-19","1771.3768168851","297.4174739539","235.2933","231.5261329576","111.0528","83.6776451715","77.0918056382","62.0081098916","61.7241135312","37.8945","34.7377827607","32.7699415308","30.6026227396","38.3445826447","22.848","26.07002868","27.7288526963","16.957143314","16.8","14.4","10.29219","6.0157052","5.4003316518","5.172644085","4.7818573288","4.6372537736","3.3925957136","0.02","","1.2199999992","0.8786371056","","0.3470077631","0.326625463","0.2285233584","0.2142857088","0.0675","0.0357142848","0.0056","0.006765","0.0002424404","0.000703","0.0000130739","0.0000009926","0.0000004598","0.0000000517","","","0","","3273.3658488493"
"2025-02-20","1296.5839694784","236.5661537365","206.888309","200.5370023565","120.6358442344","83.5255812326","77.2706664317","62.0402390348","37.6566015312","50.3225","32.4008473321","32.7173863787","24.8187256882","45.0764271868","22.848","26.07003324","23.5369823478","15.8280671769","16.8","14.4","16.024975","6.0145288","5.4006599952","5.0854383838","4.7807943288","4.2880392357","3.5796307136","0.02","0.2","1.2199999992","0.8788787782","","0.3477624314","0.2901058384","0.2285233584","0.2142857088","0.05948","0.0357142848","0.007","0.006735","0.0180823419","0.000453","0.0000130739","0.0000006541","","0.0000000519","","","","","2675.2244373647"
"2025-02-21","3074.7170615115","235.4677338806","195.23166","208.5197084962","121.0655957988","83.5854731754","77.441493612","61.5010688604","62.6060415312","47.9425","28.860478867","32.7447871052","25.315409028","47.1497297711","22.848","26.07004128","20.2587945028","16.2957522206","16.8","14.4","8.29098","6.0145788","5.4000719174","5.1541194089","4.7807149288","4.1502727749","3.5752707136","0.02","","1.7685601763","0.8792910222","","0.3621626951","0.3317316317","0.2285233584","0.2142857088","0.06379","0.0357142848","0.0112","0.006825","0.0037930746","0.000632","0.0000130739","0.0000004778","0.0000006897","0.0000000599","","","","","4460.1138614376"
"2025-02-22","882.7198544137","201.0519965157","185.016189","231.2052880905","119.0834228717","83.5320334828","77.6801082723","61.1327381536","37.4237415312","36.598","25.6222723111","32.7469320319","21.5724010116","47.2014285744","22.848","26.070047448","5.9838274161","18.5427207072","16.8","14.4","5.13149","6.0151808","5.4","4.9774773608","4.7808791288","3.9655849922","3.5271157136","0.03","","1.2199999992","0.880566816","","0.3426250465","0.3130402061","0.2285233584","0.2142857088","0.0184","0.0357142848","0.0084","0.006795","0.0011090134","0.0007","0.0000130739","0.0000013311","0.0000004598","0.0000000673","","","","","2184.3289041925"
"2025-02-23","916.3918833085","212.3287927243","152.61066","220.1506783437","110.65197434","83.0496208869","77.7396623529","61.3575045373","26.9212305312","34.856","33.9581169588","32.7746663655","25.4842014807","47.2014285744","22.848","26.070051432","23.9401976127","18.9598177115","16.8","14.4","4.929445","6.0152612","5.4000000889","4.7618207991","4.7826835288","4.4593545921","3.5783757136","0.03","","1.2199999992","0.8808360984","","0.3257303399","0.3295849706","0.2285233584","0.2142857088","0.01616","0.0357142848","0.0154","0.006795","0.0029126931","0.000706","0.0000130739","0.000001809","0.0000004598","0.0000000673","","","","","2195.7280919461"
"2025-02-24","1042.3358695952","241.9679055339","216.112164","222.0643479979","120.0484999884","83.665235492","77.8784172793","61.0322761101","52.4242965312","51.865","32.1307949263","32.7514218366","31.3878888333","45.6687434695","22.848","26.07005628","31.3826636118","17.3124938622","16.8","14.4","7.64497","6.0143048","5.4000987518","5.0169763823","4.7803635288","4.6059109644","4.0863407136","0.02","","1.4666594926","0.8860968149","","0.3635262822","0.4364339919","0.2285233584","0.2142857088","0.06654","0.0357142848","0.0084","0.006825","0.0016638007","0.000722","0.0000130739","0.0000025424","0.0000004598","0.0000000661","","","0","","2481.4304473651"
"2025-02-25","2002.617705843","323.6876454823","426.979717","258.8181480214","113.3169957995","83.8435855662","78.2442104366","60.9037483845","149.6772405312","63.1165","28.920103501","32.745672998","30.7550040897","42.0539527558","22.848","26.07006084","23.69408146","18.1079215485","16.8","14.4","18.19508","6.0140524","5.4000432788","5.1366710656","4.7818449288","4.1851467823","4.027281428","0.02","","1.27478451","0.8906710065","","0.3475029466","0.3374054279","0.2285233584","0.2142857088","0.17826","0.0357142848","0.0126","0.006795","0.0022106913","0.00064","0.0000130739","0.0000012674","0.0000004598","0.0000000896","","","0","","3868.8898219662"
"2025-02-26","1346.009922712","303.4294710606","388.897655","227.0163884483","120.7314627602","84.0564673798","78.5779509733","61.499557995","160.9284435312","64.002","27.830268247","32.7362447445","25.6026016244","41.7677549753","22.848","26.070065016","17.0858327126","16.2691083805","16.8","14.4","13.443665","6.0170228","5.4000812345","5.2565711614","4.7812715288","4.0650301126","3.9004052376","0.03","","1.2199999992","0.8925383363","","0.3545861736","0.3220827367","0.2285233584","0.2142857088","0.10872","0.0357142848","0.0182","0.006795","0.0022101247","0.000705","0.0000130739","0.0000015063","0.0000006897","0.0000000661","0.00000108","","0","","3122.8576197741"
"2025-02-27","1143.4552236779","377.3755327153","504.69453","232.7161964123","121.9361125181","84.0239141206","79.0297321807","61.7244506102","129.8833815312","66.7635","35.4013907529","32.7664984469","29.7595008767","41.7428571456","22.848","26.070069096","31.9385821889","16.9694278017","16.8","14.4","6.71754","6.013484","5.4000316262","5.3253890907","4.7817245288","4.532774583","4.1523049996","0.03","","1.2199999992","0.8934109512","","0.3543437075","0.3145801729","0.2285233584","0.2142857088","0.08742","0.0357142848","0.0084","0.006795","0.0022885824","0.000716","0.0000130739","0.0000010285","0.0000004598","0.0000000661","","","","","3110.6186412968"
"2025-02-28","917.4071522708","222.7620426143","167.707705","263.2781074315","133.2445952438","84.151254364","79.307512396","61.1883763033","28.6494555312","40.1705","32.25928608","32.7481143878","28.675452766","41.7428571456","22.848","26.070073104","25.1924684674","17.9780020731","16.8","14.4","6.036345","6.0145812","5.4000013596","5.3993454862","4.7800213288","4.2348573354","3.5817309521","0.02","","1.2199999992","0.8949059056","","0.3646529617","0.2491747288","0.2285233584","0.2142857088","0.08258","0.0357142848","0.007","0.006825","0.0016916525","0.000705","0.0000130739","0.0000006337","0.0000002299","0.0000000662","","","0","","2295.3539104444"
