"Service","Glue($)","CloudTrail($)","S3($)","CloudWatch($)","EC2-Instances($)","Relational Database Service($)","Elastic File System($)","Managed Workflows for Apache Airflow($)","Key Management Service($)","Config($)","Kinesis Analytics($)","GuardDuty($)","EC2-Other($)","Redshift($)","DynamoDB($)","DMS($)","Elastic Container Service for Kubernetes($)","VPC($)","Transfer Family($)","Athena($)","Lambda($)","Route 53($)","Elastic Load Balancing($)","Kinesis($)","Neptune($)","Secrets Manager($)","SQS($)","Identity and Access Management Access Analyzer($)","SageMaker($)","EC2 Container Registry (ECR)($)","Kinesis Firehose($)","SNS($)","ElastiCache($)","WAF($)","SES($)","Data Pipeline($)","Cost Explorer($)","Systems Manager($)","Service Catalog($)","API Gateway($)","CloudWatch Events($)","Backup($)","Step Functions($)","Simple Workflow Service($)","Glacier($)","CloudShell($)","Tax($)","CloudFormation($)","X-Ray($)","Total costs($)"
"2025-03-10","673.8708120677","585.352209","353.0751543604","163.5831857884","151.5873945715","88.0518606393","74.0461328672","65.3639914536","135.440694816","64.5788","41.5354838688","34.8739450218","29.4497447793","25.838082216","22.8978225844","22.848","16.8","15.4467417541","14.4","8.21095","2.4530685499","6.0137892","5.4","5.250126549","4.7815986784","3.8031191936","3.7443657965","","1.2180645168","0.8165500848","0.3517610207","0.1800803506","0.206408196","0.193550184","0.12902","0.032258064","0.03","0.006765","0.0084","0.0023426711","0.00024","0.0000118087","0.0000008726","0.0000002299","0.0000000673","","","0","","2621.8725268224"
"2025-03-11","640.1878115043","675.477631","390.4768228665","167.2830632212","151.9488","87.6949332822","74.4614244205","65.5122416062","122.961531816","62.7464","41.5354838688","36.543866147","29.452812228","26.069464968","22.8988158064","22.848","16.8","15.5875463572","14.4","6.72639","7.803002267","6.0139668","5.4","5.1729243714","4.7814174784","3.8917091936","3.8392114851","","1.2180645168","0.8162980967","0.3363854135","0.2656798117","0.206408196","0.193553784","0.093","0.032258064","0.03","0.006765","0.007","0.0044400762","0.00085","0.0000118087","0.0000008726","0.0000002299","0.0000000661","","","","","2711.725986624"
"2025-03-12","685.6381676293","304.781841","241.6274623318","165.8599549867","151.9488000001","88.3527741992","74.6553926281","65.7866435109","63.482455246","56.9866","41.5354838688","33.4329295439","29.4531659751","26.06946864","22.8974994667","22.848","16.8","15.467336335","14.4","8.24825","5.4130676661","6.0150624","5.4000003556","5.258659623","4.7810456784","4.5966737096","3.9038488072","","1.2180645168","0.8170843197","0.3369753335","0.4121077768","0.206408196","0.193555584","0.06269","0.032258064","0.03","0.006735","0.0077","0.0043048725","0.000733","0.0000118087","0.0000004778","0.0000004598","0.0000000649","0.0000003313","","0","","2168.9692134073"
"2025-03-13","1064.211523444","294.307969","250.4909424198","189.3130608434","151.9487999999","88.1776269877","74.7363937823","64.0052866083","70.21555188","70.381","41.5354838688","39.1650625516","29.4532859593","26.069473824","22.9003229508","22.848","16.8","15.5586856826","14.4","9.23074","4.4175749029","6.0141588","5.4000001333","5.2530453983","4.7815174784","4.4304874192","3.7555856623","","1.2180645168","0.8201714928","0.3486036848","0.2216875939","0.206408196","0.193549584","0.0819","0.032258064","0.03","0.006735","0.007","0.0035645262","0.000737","0.0000118087","0.0000008732","","0.0000000591","","","0","","2592.9722719964"
"2025-03-14","1173.3450488934","220.390184","224.0113835201","193.5759429709","151.4937998882","88.101174826","74.7317979459","64.9577449547","49.28974101","51.5996","41.7364072934","33.1000370741","29.4501119838","26.069479992","23.9576279494","22.848","16.8","15.5371341126","14.4","14.50872","3.9103723376","6.0144632","5.4000892738","5.3467369216","4.7810160784","4.1852024728","3.7424537862","","1.2180645168","0.8210709136","0.3561959202","0.161662907","0.206408196","0.193548384","0.08519","0.032258064","0.03","0.006795","0.0042","0.0028147982","0.000729","0.0000118087","0.0000008726","","0.0000000609","","","0","","2566.4032209269"
"2025-03-15","1062.5121418921","223.400258","222.0730590504","183.9363230191","151.9488000001","88.2622436872","74.82984486","62.6971172337","47.29250688","47.4506","41.5354838688","31.7430090318","29.451506524","26.069485392","23.4257199793","22.848","16.8","15.3266975166","14.4","5.161595","1.7972933667","6.0138772","5.4","5.083290503","4.7812966784","4.1804456448","3.7731706126","","1.2180645168","0.8242533312","0.3343554621","0.2151807692","0.206408196","0.193548384","0.0322","0.032258064","0.04","0.006735","0.0084","0.0021684023","0.000896","0.0000118087","0.0000007167","","0.0000000619","","","","","2425.3082466535"
"2025-03-16","950.5372595279","184.127113","204.4449629467","174.6578286698","151.9487999999","87.6071957823","74.7517038247","62.1898801275","41.79705588","46.5998","41.5354838688","31.8215391258","29.4500578048","26.0694894","22.9003169932","22.848","16.8","15.1738845074","14.4","4.9055","0.7743466242","6.0138164","5.4","4.9128032547","4.7801844784","4.1013006448","3.7032730898","","1.2180645168","0.8242533312","0.3035503398","0.1101705525","0.206408196","0.193548384","0.04443","0.032258064","0.02","0.006735","0.0098","0.0014326065","0.000598","0.0000118087","0.0000011115","0.0000002299","0.0000000603","","","","","2237.2228581519"
"2025-03-17","730.1928581845","317.524467","259.3726902336","188.1412963974","151.9487999998","88.0358380422","74.7265531343","66.0356070268","79.41840288","55.7368","41.5354838688","37.4760124622","29.4516415945","25.96328922","22.8941246335","22.848","16.8","15.2677839155","14.4","5.957025","0.4175153296","6.020932","5.4001903722","5.1903567789","4.7811876784","4.0802147846","3.6852993126","","1.2180645168","0.8243716833","0.3498355974","0.1158907715","0.206408196","0.193548384","0.08001","0.032258064","0.02","0.006735","0.0042","0.0018153758","0.000313","0.0000118087","0.0000012674","0.0000002299","0.0000000581","","","","","2276.3558338023"
"2025-03-18","718.1197191019","219.280765","221.5102799671","181.8847020242","151.9488000001","88.1861578221","74.7491084931","64.1711549384","48.77949288","52.762","41.5354838688","31.4256191686","29.4527936476","26.069478192","22.9049250145","22.848","16.8","15.2827801786","14.4","5.819475","0.4189813734","6.0182962713","5.4","5.2358830906","4.7824998784","4.1268856448","3.6776901761","0.4","1.2180645168","0.8286987667","0.3412927231","0.1042823259","0.206408196","0.193548384","0.51805","0.032258064","0.01","0.006735","0.0126","0.0020572615","0.000722","0.0000118087","0.0000009347","","0.0000000581","","","0","","2081.4657017711"
"2025-03-19","680.9752992657","487.650976","330.5382099429","182.9419427668","141.063836415","87.9547959436","74.7984830396","63.282520979","114.27431388","55.5552","41.5354838688","32.7345048519","29.5381889156","26.06948172","23.4308538933","22.848","16.8","15.2761916955","14.4","6.45751","0.5121814505","6.0259688","5.4000001333","5.2072284887","4.7807940784","4.2516764512","3.7181430898","0.2","1.2180645168","0.83223186","0.3346230899","0.1310448037","0.206408196","0.193548384","0.12227","0.032258064","0.02","0.006735","0.0105","0.0023273646","0.00043","0.0000118087","0.0000013556","0.0000002299","0.0000000567","","","","","2481.3322403995"
"2025-03-20","700.3904936167","187.605185","192.0272646797","169.9938473943","134.857780992","88.176835231","74.8192505148","63.0229846591","46.32091488","51.1709","41.5354838688","24.3665806813","29.6176667657","26.069485872","22.8970891006","22.848","16.8","16.1443757542","14.4","5.33555","0.4677085224","6.01865473","5.4","5.2951123697","4.7807774784","4.0642438704","3.7014493421","","1.2180645168","0.8331178448","0.3595960214","0.117991145","0.206408196","0.193548384","0.07348","0.032258064","0.03","0.006735","0.0042","0.0023191368","0.000764","0.0000118087","0.0000008732","0.0000006897","0.0000000557","","","0","","1961.2061310593"
"2025-03-21","622.6221196467","163.369295","182.0410483998","165.8801610983","132.1503955851","88.336724673","74.7075940744","61.2816804637","54.84039288","56.968","41.5354838688","25.0108272096","29.4036306622","26.069493048","22.9027690327","22.848","16.8","15.3516505739","14.4","7.985115","0.4310636557","6.0302812","5.4","5.3370851434","4.7818104784","4.2134838704","3.7091485354","","1.2180645168","0.8355274011","0.3470867593","0.1133784467","0.206408196","0.193548384","0.09878","0.030913978","0.02","0.006774","0.0056","0.0022765964","0.00073","0.0000118087","0.0000010285","0.0000004598","0.0000000557","","","","","1857.4863557305"
"2025-03-22","573.73028106","122.281356","166.1080042913","153.3840678812","150.1617654223","87.9967628529","74.5650856929","59.5609866482","32.61022188","45.0625","41.5354838688","23.321761098","29.3664237507","26.069498424","22.8946545976","22.848","16.8","15.3159178147","14.4","3.635965","0.366401652","6.0254376","5.4000002667","4.9868066244","4.7808422784","4.0276038704","3.6634924898","","1.2180645168","0.8393529168","0.31126344","0.0870740444","0.206408196","0.193548384","0.0596","0.032258064","0.01","0.006735","0.0014","0.0011652853","0.000721","0.0000118087","0.0000008732","0.0000004598","0.0000000577","","","","","1713.866925111"
"2025-03-23","584.2690743706","140.710514","176.4403222468","160.9137228741","141.9068138161","87.5944330382","74.4904723131","59.2017265877","34.66465788","41.935","41.5354838688","22.8016592537","29.3970970339","26.06950212","22.900248133","22.848","16.8","15.2827121718","14.4","3.99152","0.3610465845","6.02673","5.4","4.8893438551","4.7812790784","3.9515403758","3.6658250819","0.2","1.2180645168","0.8393529168","0.3210283848","0.0914263464","0.206408196","0.193548384","0.12743","0.032258064","0.01","0.006765","0.0056","0.0007854199","0.000721","0.0000118087","0.0000011798","0.0000002299","0.0000000591","","","","0","1750.4821261897"
"2025-03-24","760.6718600272","190.116187","196.8692569917","169.3081098503","144.2056361537","88.0248384412","74.4180493335","61.1834013322","49.72472388","57.294","41.4304144912","26.6242315734","29.4406282462","26.036925624","22.8979459139","22.848","16.8","15.6598081477","14.4","7.543785","0.4449333404","6.0283152","5.4001860303","5.1904573127","4.7802510784","4.3062765584","3.6963513019","0.4","1.2180645168","0.8450345011","0.3575058837","0.1257263093","0.206408196","0.193548384","0.06947","0.032258064","0.01","0.00678","0.0028","0.0011629074","0.00074","0.0000118087","0.000001268","","0.000000053","","","","","2048.8140847203"
"2025-03-25","817.3215604036","186.759196","195.8744333754","170.8202128628","134.3913848498","88.1618828959","74.3506771146","61.9033265811","45.80084388","54.811","41.4818187145","29.6429388795","30.7629272051","26.069510424","22.9033259365","22.848","16.8","16.0675782252","14.4","4.305095","0.7009217561","6.0278188","5.4000416872","5.3892909823","4.7824530784","4.6830854833","3.9107625568","","1.2180645168","0.8470335528","0.3650598355","0.2091391206","0.206408196","0.193548384","0.08818","0.032258064","0.02","0.00678","0.0028","0.0016240719","0.000227","0.0000118087","0.000000634","0.0000002299","0.0000000518","","","0","","2089.5612221581"
"2025-03-26","639.9112466769","196.103172","200.2786746194","179.1453390214","136.1550109597","88.0957189376","74.3175639787","62.2410154986","54.61610088","62.43","41.5354838688","33.5172165797","33.944737913","26.069514288","22.9006751621","22.848","16.8","16.2193467451","14.4","5.25296","1.0420166375","6.0294732","5.400227137","5.2741727254","4.7815478784","4.7505050008","4.0969291287","","1.2153257808","0.848807498","0.3615847735","0.2765003112","0.206408196","0.193548384","0.05174","0.032258064","0.01","0.00675","0.0056","0.0021976818","0.000927","0.0000118087","0.0000015072","0.0000002299","0.0000000532","","","","","1961.3683101251"
"2025-03-27","876.7906764283","179.240218","193.822342769","175.7215172756","137.8367999999","88.0694546195","74.2593067974","48.0365851916","51.64959888","58.2385","32.8822580628","33.8503971745","27.7062205477","23.360785998","22.9033644821","18.088","13.3","16.1961041303","11.4","7.014315","0.950768577","4.7790796","5.4001293061","4.4762748144","4.7812786784","4.9017902696","4.0443234258","","0.9643010758","0.8513865196","0.3684045848","0.2728944173","0.051602049","0.153225804","0.06456","0.032258064","0.02","0.00675","0.007","0.0015226492","0.000742","","0.0000007896","0.0000002299","0.000000054","","","0","","2122.4947382652"
"2025-03-28","5.2388755142","8.550986","4.1391762618","4.4646588918","-0.0000000001","0.4416969883","3.0941630056","","5.06247","2.004","","1.0901640481","0.2138770651","0.00020332","0.8429647963","0","","0.5602926717","","0.049155","0.0000629455","0.0010836","0.225","0.0721459739","0.0018120866","0.2224616667","0.1517959589","","","0.0354776124","0.0173683181","0.0054104014","","","0.0072","0.001344086","","0.00028","0.0014","0.0000365801","","","","","0.0000000022","","","","","36.4955627946"
