"Service","Glue($)","S3($)","CloudWatch($)","CloudTrail($)","EC2-Instances($)","Relational Database Service($)","Elastic File System($)","Managed Workflows for Apache Airflow($)","Key Management Service($)","DynamoDB($)","Config($)","GuardDuty($)","EC2-Other($)","DMS($)","Elastic Container Service for Kubernetes($)","Kinesis Analytics($)","VPC($)","Transfer Family($)","Lambda($)","Athena($)","Route 53($)","Elastic Load Balancing($)","SQS($)","Neptune($)","Kinesis($)","Secrets Manager($)","Identity and Access Management Access Analyzer($)","Cost Explorer($)","EC2 Container Registry (ECR)($)","SNS($)","Kinesis Firehose($)","ElastiCache($)","WAF($)","SES($)","Data Pipeline($)","Elastic MapReduce($)","Systems Manager($)","Service Catalog($)","Redshift($)","API Gateway($)","CloudWatch Events($)","Backup($)","Step Functions($)","Simple Workflow Service($)","Glacier($)","CloudShell($)","Tax($)","CloudFormation($)","X-Ray($)","Total costs($)"
"2024-12-10","3142.3096854949","287.9285226043","234.1651656124","314.328273","154.6899863047","83.2788028565","66.5172508041","61.9195492634","92.426163624","28.4703549648","41.5754","46.2955630331","30.9487940169","22.848","16.8","16.646451612","16.5405933158","14.4","7.0467012202","15.36858","6.0307816","5.4000662947","5.5183613705","4.7865774784","3.8733226952","3.1452853231","","0.02","0.7240163631","0.3757214723","0.2287700771","0.206408196","0.193548384","0.04907","0.032258064","","0.006875","0.0119","0.00487968","0.0125007554","0.000684","0.0000118087","0.0000027793","0.0000009196","0.0000000651","","","","","4725.1248800536"
"2024-12-11","3052.3587673197","307.0386005236","211.8619240972","269.841836","89.5663309194","82.8063863777","66.5843304591","61.8123095649","81.417558624","38.3259230928","43.0404","44.6278326479","33.2513027722","22.848","16.8","16.646451612","16.3473184968","14.4","20.5081434811","14.252445","6.0341528","5.4011703662","6.0736491752","4.7865530784","3.8991357167","2.9633490328","","0.02","0.7245863261","0.7809625636","0.2245242494","0.206408196","0.193548384","0.07083","0.032258064","","0.006985","0.0028","0.00487968","0.0055569614","0.000675","0.0000118087","0.0000052334","0.0000004598","0.0000000637","","","0","","4535.7679031478"
"2024-12-12","1979.8349851609","317.6705683868","229.6550382193","271.631332","108.2448222618","83.3358486447","66.57646439","61.8545422906","98.704260624","31.873710681","52.3312","41.6220614249","31.7837902117","22.848","16.8","16.646451612","16.0350109688","14.4","11.6835205168","12.45911","6.0355432","5.4011503629","5.7816199752","4.7867206784","3.8847036403","2.8995090328","","0.02","0.7253124622","0.6172441797","0.2214271942","0.206408196","0.193548384","0.03626","0.032258064","","0.006885","0.0028","0.00487968","0.0010555436","0.00067","0.0000118087","0.0000037201","0.0000006897","0.0000000637","","","","0","3516.8487292688"
"2024-12-13","1510.2686584248","322.200158508","229.2796657126","312.765727","119.1717230597","85.0494830118","66.6204576594","61.8780955478","115.520202624","76.0520649267","42.553","52.4632903434","32.8106321353","22.848","16.8","16.646451612","15.9589652072","14.4","6.9945865807","18.971785","6.0355312","5.4009276907","5.7788706919","4.7876218784","3.8839359406","2.9851227424","","0.02","0.7253144019","0.5025371233","0.2194267483","0.206408196","0.193548384","0.03585","0.032258064","","0.006885","0.0056","0.00487968","0.0003077152","0.000665","0.0000118087","0.000001872","0.0000006897","0.0000000649","","","","","3170.0786522454"
"2024-12-14","1661.8746274282","228.3211084095","190.9950031376","134.025224","96.8891380216","84.2095720426","66.5497778583","61.5394767145","11.357787624","52.0573535014","28.0548","34.7692409154","30.4976155206","22.848","16.8","16.646451612","15.7254269884","14.4","12.6404128716","2.881315","6.0342236","5.4000406221","5.7847466994","4.7863380784","3.8791305747","2.8146972584","","0.02","0.7253144064","0.441600666","0.2129447568","0.206408196","0.193548384","0.01223","0.032258064","","0.006915","0.0056","0.00487968","0.0000397596","0.000662","0.0000118087","0.0000018959","0.0000004598","0.0000000673","","","","","2813.6439236232"
"2024-12-15","962.6492692412","211.4752273837","170.98431306","103.854639","97.4681775285","83.3117585803","66.5466963334","61.4324502609","11.330229624","43.0098828177","25.8452","28.5146545238","30.4457023557","22.848","16.8","16.646451612","15.5074375228","14.4","14.16082364","2.679945","6.0349724","5.4000038222","5.782624447","4.7864240784","3.8753883585","2.8599622584","","0.04","0.7253144064","0.43360068","0.211635537","0.206408196","0.193548384","0.01386","0.032258064","","0.006855","0.0042","0.00487968","0.0000397596","0.000178","0.0000118087","0.0000013254","0.0000004598","0.0000000685","","","","","2030.5230252179"
"2024-12-16","930.6550842634","315.0706253128","230.3125891842","313.907897","113.529573746","83.2138889584","66.5669554916","61.7810081178","150.288753624","36.9637090625","41.2488","32.016571856","30.5370403038","22.848","16.8","16.646451612","15.798297364","14.4","13.6770246829","19.898505","6.0358296","5.4001322019","5.6812577551","4.7873256784","3.8864578936","2.7866009143","","0.01","0.7253144064","0.3098539984","0.2129414601","0.206408196","0.193548384","0.03598","0.032258064","","0.006855","0.0042","0.00487968","0.0006492418","0.000839","0.0000118087","0.000002267","0.0000004598","0.0000000685","0.0000000736","","","","2556.482121731"
"2024-12-17","1218.3482341059","280.0887616922","242.9728828425","225.918864","137.8629418093","83.3745030879","66.5841448794","61.782701108","78.971703624","37.8899632873","43.7942","38.5291450467","30.5295191551","22.848","16.8","16.5797488573","16.0237622537","14.4","13.8153268074","16.822865","6.0377076","5.4002969599","5.7484285755","4.7867312784","3.8822673355","2.8976372584","","0.04","0.7253144064","0.3269652461","0.2177250665","0.206408196","0.193548384","0.03293","0.032258064","","0.006825","0.007","0.00487968","0.0019501037","0.000671","0.0000118087","0.0000042075","0.0000004598","0.0000000661","","","","","2694.4868282532"
"2024-12-18","1804.0712290229","357.343794465","306.7486884416","426.927739","115.1834629368","83.3496361271","66.6939605785","61.8194103113","108.610827624","36.3476811044","50.7378","44.1015468056","31.129565234","22.848","16.8","16.646451612","16.6322800263","14.4","14.7600414306","28.029085","6.0383","5.4006601161","5.5920492247","4.7860480784","3.886185327","3.1186172584","","0.02","0.7253144064","0.3445093808","0.2152716883","0.206408196","0.193548384","0.03585","0.032258064","","0.006855","0.0112","0.00487968","0.0023341441","0.000734","0.0000118087","0.0000014767","0.0000004598","0.0000000661","","","0","","3653.8022364796"
"2024-12-19","1703.7414613311","369.2838079644","239.3758050554","469.376059","100.613952389","82.9486859313","66.7755761664","61.9102454337","155.400924624","32.5806117233","53.8256","46.1294171574","31.2677434898","22.848","16.8","16.646451612","16.1340074759","14.4","14.6545181679","51.83066","6.0378424","5.4005693355","5.1969637505","4.7873370784","3.8799499871","2.8520509143","","0.05","0.7258523207","0.3008165281","0.2191119468","0.206408196","0.193548384","0.03743","0.032258064","","0.006765","0.0028","0.00487968","0.0015790771","0.00067","0.0000118087","0.0000025696","0.0000006897","0.0000000685","","","","","3596.4803753206"
