"Service","Glue($)","CloudWatch($)","EC2-Instances($)","Athena($)","S3($)","Relational Database Service($)","CloudTrail($)","Elastic File System($)","Managed Workflows for Apache Airflow($)","Key Management Service($)","Config($)","EC2-Other($)","DMS($)","GuardDuty($)","DynamoDB($)","VPC($)","Transfer Family($)","Elastic Container Service for Kubernetes($)","Kinesis Analytics($)","SQS($)","Elastic MapReduce($)","Route 53($)","Elastic Load Balancing($)","Neptune($)","Kinesis($)","Secrets Manager($)","Lambda($)","EC2 Container Registry (ECR)($)","Kinesis Firehose($)","ElastiCache($)","WAF($)","SageMaker($)","SES($)","SNS($)","Data Pipeline($)","Cost Explorer($)","API Gateway($)","Systems Manager($)","Redshift($)","Service Catalog($)","CloudWatch Events($)","Comprehend($)","Step Functions($)","Simple Workflow Service($)","Glacier($)","Tax($)","CloudFormation($)","X-Ray($)","Total costs($)"
"2024-10-10","1110.4135756845","176.6034685938","193.2455728262","12.70044","104.6371017571","93.3353815481","61.149655","62.2699345053","61.8593781964","69.860239368","45.4568","34.3702632564","22.848","13.3245757945","15.7061504699","14.8109962258","14.4","14.4","13.87204301","1.851377876","6.72","6.0331612","5.4034268272","4.7799708784","4.8377691856","2.4944462904","0.4203201311","0.7075950792","0.2231787427","0.206408196","0.193548384","","0.04755","0.0185678327","0.032258064","0.02","0.0020018916","0.006945","0.00487968","0.0028","0.00042","","0.0000025326","0.0000006129","0.0000000631","","","","2169.2702047035"
"2024-10-11","1094.8519227882","200.2915816833","139.8636582285","21.562495","94.8790679603","93.0664962502","28.77534","62.347130479","61.8560304949","28.868236368","51.3802","29.9378457057","22.848","13.2857544464","15.9103550375","14.7802651705","14.4","14.4","12.484838709","2.3872621213","6.72","6.0327432","5.4004682788","4.7822342784","4.8357158253","2.4980562904","0.3885642321","0.7075950792","0.2184247638","0.206408196","0.193548384","","0.03939","0.0180615438","0.032258064","0.02","0.0023431057","0.007005","0.00487968","0.0042","0.000414","","0.0000021582","0.0000006129","0.0000000673","","","0","2050.2887932027"
"2024-10-12","242.9718143075","109.2118185091","118.5428195529","7.575515","78.7028749836","93.2680936325","12.50189","62.3582480486","61.4923085913","12.965164186","38.362","30.4881961697","22.848","12.4657049519","15.8068815623","15.1823865775","14.4","14.4","","4.0399222809","6.72","6.0334024","5.4002335677","4.7808336784","4.8318263504","2.4713262904","0.5538161543","0.7075950792","0.2106796791","0.206408196","0.193548384","","0.0195","0.0228965751","0.032258064","0.03","0.0010506614","0.007035","0.00487968","0.0042","0.000401","","0.0000024078","0.0000004086","0.0000000673","","","","999.8155319975"
"2024-10-13","175.8633457544","109.2113776469","138.5892312592","8.609395","77.4487714744","92.2048082919","7.85191","62.2814156117","61.4012848167","4.499260186","38.6706","29.7681193854","22.848","12.4975142094","15.7362434386","15.243816492","14.4","14.4","","4.1003941078","6.72","6.0336376","5.4000724337","4.7806916784","4.8302059736","2.4735012904","0.654732481","0.7075950792","0.2099088756","0.206408196","0.193548384","","0.01593","0.0257757083","0.032258064","0.02","0.0008749689","0.006885","0.00487968","0.0028","0.000401","","0.0000026574","0.0000006129","0.0000000685","","","","937.9455974263"
"2024-10-14","567.1666693338","136.3619132996","194.6291517512","80.139855","124.9912909816","94.2540645165","107.126383","62.3295462302","61.823015096","111.561862368","59.2196","29.7911935864","22.848","15.7953960837","15.5709797567","15.2673392743","14.4","14.4","7.6296236555","2.5534317335","6.72","6.0271580175","5.4002378621","4.7812252784","4.8444759051","2.5235812904","2.7731628806","0.7108848704","0.2391028599","0.206408196","0.193548384","","0.04459","0.0210876174","0.032258064","0.02","0.0014514362","0.007035","0.00487968","0.0028","0.000422","","0.0000025326","0.0000006129","0.0000000673","","","","1772.4136282218"
"2024-10-15","1221.2350387579","151.9229781482","214.3124076209","149.6268","154.323123305","93.4968079196","176.283049","62.3225717009","61.795179629","153.472684368","62.2986","31.3682262208","22.848","16.9041890848","14.9803284876","15.2428370168","14.4000023428","14.4","8.323225806","0.5377123029","6.72","6.0377048","5.4006366756","4.7806346784","4.8470866222","2.4162229033","0.5865239895","0.712852516","0.2424428563","0.206408196","0.193548384","","0.03782","0.0210153125","0.032258064","0.02","0.0026734194","0.006915","0.00487968","0.0042","0.000544","","0.0000025326","0.0000006129","0.0000000662","","","","2672.3681320201"
"2024-10-16","1035.9979508791","152.0572833723","199.8637594401","29.79595","105.0136092241","93.1425281288","51.164501","62.3899666061","61.823634121","47.831578368","57.2584","31.7913231854","22.848","17.1633748915","15.4878330699","14.8074909903","14.4","14.4","10.8169810139","1.9696274142","6.72","6.0239852","5.400665559","4.7812800784","4.8451266243","2.4965862904","2.2586418636","0.7128526464","0.2336565547","0.206408196","0.193548384","0.9250677549","0.04424","0.0215925439","0.032258064","0.02","0.0014580865","0.006945","0.00487968","0.0042","0.000207","","0.000003044","0.0000006129","0.0000000673","","","","2074.957394955"
"2024-10-17","645.8835849631","121.1698907638","101.0610209598","13.63272","107.7647758662","92.9806816541","58.628689","62.4836538373","61.8639033489","36.891376368","51.1674","30.6266839317","22.848","16.1789006195","15.4784243009","15.1700107695","14.4","14.4","5.9764252419","3.4399433781","6.72","6.0193448","5.4006855684","4.7805686784","4.4876787954","2.4939362904","0.7797464781","0.7128526464","0.2166305752","0.206408196","0.193548384","","0.03495","0.0207656609","0.032258064","0.02","0.0016839993","0.006915","0.00487968","0.0042","0.000652","","0.0000025509","0.0000005117","0.0000000661","","","","1524.183792948"
"2024-10-18","791.9981005544","139.4948663","116.2576784861","7.557155","132.6429370435","93.4455303068","123.160418","62.5536185991","61.8050231341","55.276141368","49.0986","30.4638084902","22.848","17.4066717183","15.4779882524","16.7681934916","14.4","14.4","4.9128242533","4.4666760683","6.72","6.0089331563","5.4001897706","4.7810554784","3.8788153509","2.4722162904","11.3048925711","0.7128526464","0.217285048","0.206408196","0.193548384","","0.03194","0.0407510703","0.032258064","0.03","0.001428194","0.006915","0.00487968","0.0056","0.000544","","0.0000043914","0.0000005876","0.0000000605","","","","1816.484749006"
"2024-10-19","219.5511056304","105.7505641627","92.2550524653","3.460335","78.3958836477","92.486349483","9.324749","62.6735066341","61.4562155464","6.037282368","33.6636","29.7830714802","22.848","11.9390690912","15.4772958419","16.7454818987","14.4","14.4","16.646451612","5.5660671218","6.72","6.0148504","5.4","4.7849586784","3.872627169","2.4477412904","2.6154341845","0.7128526464","0.2050873539","0.206408196","0.193548384","","0.0155","0.0205905838","0.032258064","0.02","0.0009547205","0.006885","0.00487968","0.0014","0.00054","","0.0000025325","0.0000006129","0.0000000567","","","","946.1366005364"
