"Service","Glue($)","EC2-Instances($)","CloudWatch($)","S3($)","CloudTrail($)","Relational Database Service($)","Elastic File System($)","Key Management Service($)","Managed Workflows for Apache Airflow($)","Config($)","Athena($)","EC2-Other($)","DMS($)","Elastic Container Service for Kubernetes($)","GuardDuty($)","VPC($)","DynamoDB($)","Transfer Family($)","Elastic MapReduce($)","Route 53($)","Elastic Load Balancing($)","Neptune($)","Kinesis($)","Secrets Manager($)","SQS($)","Lambda($)","EC2 Container Registry (ECR)($)","ElastiCache($)","Kinesis Firehose($)","WAF($)","SageMaker($)","SNS($)","Data Pipeline($)","API Gateway($)","Cost Explorer($)","SES($)","Systems Manager($)","Redshift($)","Service Catalog($)","CloudWatch Events($)","Step Functions($)","Simple Workflow Service($)","Glacier($)","Tax($)","X-Ray($)","CloudFormation($)","Total costs($)"
"2024-09-10","455.5159825243","147.0852308034","102.6339924747","266.834186169","475.82602","93.8579663503","63.8628681291","169.5737883432","61.7490674387","56.3746","36.430355","30.2416038712","22.848","16.8","16.1316196673","14.4918908626","18.1804159898","14.4","6.72","6.0243512","5.4001563643","4.7869716688","4.2987919229","2.6311383328","1.0206951514","0.5760544749","0.721357848","0.213288468","0.1971591704","0.2000000016","","0.061551129","0.0333333336","0.0120065102","0.02","","0.00699","0.00504252","0.007","0.00064","0.000002283","0.0000006129","0.0000000457","","0","","2095.7741186611"
"2024-09-11","554.1822190765","206.6523402361","114.2508196944","129.3789086402","145.658967","93.3524026264","63.9336729766","47.0553813432","61.8026863051","58.9588","27.065205","30.9230032618","22.848","16.8","21.557224891","14.8659209727","15.6572235266","14.4","6.72","6.0256308","5.40045745","4.7860766688","4.1617467524","2.5964372224","1.0164576517","0.7390623026","0.721357848","0.213288468","0.2029590999","0.2000000016","","0.0558355373","0.0333333336","0.0029518578","0.02","","0.007095","0.00504252","0.0014","0.000637","0.0000034286","0.0000006129","0.0000000487","","","","1672.2525491549"
"2024-09-12","724.1170011074","178.5143565826","115.1029114588","137.9978702362","173.130229","94.6572555445","63.9634558749","71.8943643432","61.7851335721","62.7154","40.480715","30.3036000386","22.848","16.8","20.521714549","15.1539642637","14.8147244443","14.4","6.72","6.0256648","5.4004084621","4.7882750688","3.93480075","2.5848166672","1.011796553","0.5449902015","0.721357848","0.213288468","0.2065667857","0.2000000016","","0.0472106441","0.0333333336","0.0019187413","0.03","","0.007125","0.00504252","0.0042","0.000604","0.0000038359","0.0000006129","0.0000000461","","0","0","1891.6821003551"
"2024-09-13","533.0140521741","156.3437954519","109.0641170652","101.1883590463","82.692577","94.4277213059","63.9201000951","50.7564993432","61.7868287931","62.846","46.190065","30.3454558563","22.848","16.8","16.8233127992","15.0859753034","14.8426995527","14.4","6.72","6.0272736","5.4003952452","4.7859898688","3.926676902","2.5686566672","1.3247794252","0.7785678561","0.721357848","0.213288468","0.2052621903","0.2000000016","0.0315818512","0.0375853843","0.0333333336","0.00124367","0.02","","0.006915","0.00504252","0.0042","0.00059","0.0000018967","0.0000006129","0.0000000477","","","0","1526.3883011752"
"2024-09-14","307.0944838171","116.6773649882","103.9034059117","82.9210453581","40.775209","93.1973693939","63.874690745","15.3530733432","61.437647542","44.3696","9.38934","30.4108218128","22.848","16.8","12.2535041912","15.0621727304","14.819697788","14.4","6.72","6.0271632","5.4000359556","4.7872640688","3.9105767774","2.5304266672","1.9697828691","1.0728139616","0.721357848","0.213288468","0.204033812","0.2000000016","","0.0360900249","0.0333333336","0.0007141813","0.02","","0.006885","0.00504252","0.0042","0.000591","0.0000024086","0.0000006129","0.0000000449","","","","1099.4510293771"
"2024-09-15","253.8371574953","160.1806095989","102.662534895","86.1236639958","48.924512","93.9527039289","63.8240024335","22.2237933432","61.3853545518","46.2622","13.211015","30.4154462562","22.848","16.8","12.1190297588","15.2059485014","15.2416281102","14.4","6.72","6.0270436","5.4","4.7873550688","3.9018677443","2.5363616672","1.9582614601","0.9047730457","0.721357848","0.213288468","0.2018566634","0.2000000016","","0.0325135968","0.0333333336","0.0007317774","0.02","0.00173","0.006975","0.00504252","0.0028","0.000597","0.0000030448","0.0000006129","0.0000000477","","","","1113.2934923693"
"2024-09-16","607.4016635138","160.3866932992","118.4104176818","99.8019059448","68.823163","94.2112390634","63.766062518","43.8004743432","61.765502454","53.4086","35.46045","31.5288068032","22.848","16.8","15.6268868382","15.513733551","14.8582129075","14.4","6.72","6.0269348","5.4003634244","4.7859268688","3.8970871882","2.5742394442","1.8795709423","0.8709909635","0.721357848","0.213288468","0.206985804","0.2000000016","0.6170532127","0.0363008166","0.0333333336","0.0036650555","0.02","0.00091","0.007035","0.00504252","0.0042","0.000189","0.0000037449","0.0000008172","0.0000000478","","","0","1573.0362912194"
"2024-09-17","675.0814617498","169.2807225495","112.9880047222","99.5889319147","68.457826","92.816853763","63.7459298318","75.3510243432","61.7904918547","59.2692","27.34907","30.4083865565","22.848","16.8","14.8563585684","15.7548367624","19.203836289","14.4","6.72","6.0297692","5.4002371513","4.7881438688","3.8838396144","2.5792899992","3.2203034126","1.2649885901","0.721357848","0.213288468","0.2054661546","0.2000000016","0.1121855286","0.0426980484","0.0333333336","0.0016509954","0.02","0.0001","0.007035","0.00504252","0.0028","0.000622","0.0000031504","0.0000006129","0.0000000569","","","","1675.44309046"
"2024-09-18","1009.709967433","141.5734824375","116.9620551772","108.8059335867","91.869537","93.5592068857","63.7460530503","75.5577693432","61.7665739145","59.9028","22.71025","30.4084445482","22.848","16.8","13.8537335022","16.4472222088","18.165168861","14.4","6.72","6.047292","5.4004354263","4.7859052688","3.8776317524","2.78534","4.8582366732","4.7233670328","0.721357848","0.213288468","0.2062294053","0.2000000016","","0.0968704296","0.0333333336","0.0019176831","0.02","0.0002","0.007065","0.00504252","0.0028","0.000632","0.0000027821","0.0000006129","0.0000000551","","0","","2019.7931462411"
"2024-09-19","737.2479510906","150.8415522046","118.7558230906","119.6770963191","124.097532","93.3749117645","63.7878277931","92.8938483432","61.7994501018","53.2795","27.99625","31.1806507698","22.848","16.8","17.4940271094","15.4420899111","16.2328628561","14.4","6.72","6.030168","5.4003188104","4.7873674688","3.8833112792","2.6131899996","4.927382873","5.0915014247","0.721357848","0.213288468","0.2071166099","0.2000000016","","0.0398362068","0.0319444447","0.0063762882","0.02","0.0001","0.007125","0.00504252","0.0042","0.000598","0.0000036688","0.0000008172","0.0000000537","","","","1819.0596031365"
"2024-09-20","459.5354311502","179.1556982358","113.1570246988","87.9809423112","52.871945","93.5794010964","63.8008012102","23.2996533432","61.7833568895","50.9205","6.12938","31.4829919738","22.848","16.8","13.1280855909","15.8930677428","15.2267646902","14.4","6.72","6.0297824","5.4006581746","4.7867850688","3.8824557942","2.6618005552","4.8053290514","5.0297130721","0.7221131567","0.213288468","0.2060865345","0.2000000016","","0.0399825528","0.0333333336","0.0005806559","0.02","","0.007095","0.00504252","0.0049","0.000519","0.0000036835","0.0000006129","0.0000000559","","","0","1362.7625136247"
