create_dt,metric_id,feature_name,metrics,display_names,operating_system_type,1st Quartile,3rd Quartile,IQR,Upper,Lower,Yesterday,last_7_days,last_30_days,% Change Last 7 Days,% Change Last 30 Days
31-01-2025,115,OVER ALL,DR_Visits,Visits,Apple iOS,107921.5,127163.25,19241.75,151215.438,83869.312,114579,115515.143,116398.533,-0.810407046,-1.563192663
31-01-2025,10000027,OVER ALL,DR_Visits,Visits,Both,141759.5,167826.75,26067.25,200410.812,109175.438,150275,151649.571,153223.833,-0.906412999,-1.924526537
31-01-2025,351,OVER ALL,DR_Visits,Visits,Google Android,34170.75,40268.25,6097.5,47890.125,26548.875,35696,36134.429,36825.3,-1.213326428,-3.066641684
31-01-2025,123,OVER ALL,DR_Agent Chat,Visits to Agent Chat (Skip bot),Apple iOS,1.525,1.718,0.193,1.863,1.38,1.753,1.776,1.671,-1.302983994,4.928172386
31-01-2025,10000035,OVER ALL,DR_Agent Chat,Visits to Agent Chat (Skip bot),Both,1.432,1.628,0.196,1.775,1.284,1.666,1.713,1.597,-2.7599433,4.301007951
31-01-2025,359,OVER ALL,DR_Agent Chat,Visits to Agent Chat (Skip bot),Google Android,1.162,1.388,0.226,1.558,0.993,1.387,1.513,1.366,-8.345133579,1.557160988
31-01-2025,121,OVER ALL,DR_Overall Chat,Visits to Chat,Apple iOS,4.228,4.73,0.502,5.107,3.851,4.746,4.643,4.437,2.227829405,6.976219993
31-01-2025,10000033,OVER ALL,DR_Overall Chat,Visits to Chat,Both,4.182,4.64,0.457,4.983,3.839,4.686,4.621,4.407,1.400352407,6.33405443
31-01-2025,357,OVER ALL,DR_Overall Chat,Visits to Chat,Google Android,4.02,4.472,0.452,4.811,3.681,4.494,4.552,4.313,-1.271066755,4.207084721
31-01-2025,122,OVER ALL,DR_Message Us,Visits to Chat (Bot),Apple iOS,2.902,3.215,0.314,3.45,2.666,3.193,3.082,2.968,3.60155743,7.598989048
31-01-2025,10000034,OVER ALL,DR_Message Us,Visits to Chat (Bot),Both,2.932,3.232,0.3,3.457,2.707,3.235,3.142,3.023,2.959898154,7.015261115
31-01-2025,358,OVER ALL,DR_Message Us,Visits to Chat (Bot),Google Android,3.044,3.367,0.323,3.609,2.802,3.37,3.333,3.198,1.123113855,5.388247803
31-01-2025,124,OVER ALL,DR_Self Service Initiated,Visits to Self Service Features,Apple iOS,52.829,55.084,2.255,56.776,51.137,54.3,54.332,53.936,-0.059422706,0.674251741
31-01-2025,10000036,OVER ALL,DR_Self Service Initiated,Visits to Self Service Features,Both,52.805,55.17,2.364,56.943,51.032,54.199,54.455,53.904,-0.46985183,0.546771808
