create_dt,metric_id,feature_id,feature_name,metrics,display_names,operating_system_type,Date,Value
31-01-2025,147,11,RESET MODEM,DR_Reset Modem Error -DMCA,DMCA Error,Apple iOS,29-08-2024,0
31-01-2025,148,12,RESET TV BOX,DR_Reset Tvbox - Home Page,Reset TV Box Start Page Visits,Apple iOS,29-08-2024,663
31-01-2025,149,12,RESET TV BOX,DR_Reset Tvbox - Rebooting,Reset_TV Started Reset Process,Apple iOS,29-08-2024,93.062
31-01-2025,150,12,RESET TV BOX,DR_Reset Tvbox - Complete,Reset_TV Process Complete,Apple iOS,29-08-2024,34.684
31-01-2025,151,12,RESET TV BOX,DR_Reset Tvbox - Incomplete,Reset_TV Process Incomplete,Apple iOS,29-08-2024,43.76
31-01-2025,152,12,RESET TV BOX,DR_Reset Tvbox - Agent Chat,Reset_TV Interacted with Chat,Apple iOS,29-08-2024,18.314
31-01-2025,153,12,RESET TV BOX,DR_Reset Tvbox - Error Outage,Reset_TV Error Outage,Apple iOS,29-08-2024,0
31-01-2025,154,12,RESET TV BOX,DR_Reset Tvbox Error - Non Pay,Reset_TV Non Pay Error,Apple iOS,29-08-2024,0
31-01-2025,155,12,RESET TV BOX,DR_Reset Tvbox Error - DMCA,Reset_TV DMCA Error,Apple iOS,29-08-2024,0
31-01-2025,182,15,SMART HELP,DR_SmartHelp - Landing Page,Devices Page Visits,Apple iOS,29-08-2024,3444
31-01-2025,183,15,SMART HELP,DR_SmartHelp - Started,Started Troubleshooting (Solution Center),Apple iOS,29-08-2024,2.323
31-01-2025,184,15,SMART HELP,DR_SmartHelp - Result,Saw a Result,Apple iOS,29-08-2024,95
31-01-2025,185,15,SMART HELP,DR_SmartHelp Result - Unknown,1st common reason (Unknown),Apple iOS,29-08-2024,78.947
31-01-2025,186,15,SMART HELP,DR_SmartHelp Result - Disconnected,2nd common reason (Disconnected),Apple iOS,29-08-2024,14.474
31-01-2025,187,15,SMART HELP,DR_SmartHelp Result - Incomplete Install,3rd common reason (Incomplete Install),Apple iOS,29-08-2024,5.263
31-01-2025,188,15,SMART HELP,DR_SmartHelp - Reboot Flow Started,Did a Device Reboot,Apple iOS,29-08-2024,0.929
31-01-2025,189,15,SMART HELP,DR_SmartHelp - P&P,Started Proactive and Preventive (P&P),Apple iOS,29-08-2024,59.379
31-01-2025,190,15,SMART HELP,DR_Smarthelp P&P - Let's troubleshoot together,Started P&P troubleshooting,Apple iOS,29-08-2024,55.257
31-01-2025,191,15,SMART HELP,DR_Smarthelp P&P - Reset Complete,Smarthelp Reset Complete,Apple iOS,29-08-2024,19.56
31-01-2025,192,15,SMART HELP,DR_Smarthelp P&P - Let's schedule a technician visit,Schedule Tech,Apple iOS,29-08-2024,22.885
31-01-2025,193,15,SMART HELP,DR_Smarthelp P&P - Connect with a support agent,Connect with Agent,Apple iOS,29-08-2024,3.863
31-01-2025,194,15,SMART HELP,DR_Smarthelp P&P - Interacted with Chat Agent,Smarthelp_P&P Interacted with Chat,Apple iOS,29-08-2024,14.23
31-01-2025,195,15,SMART HELP,DR_SmartHelp - Billing & Account Support,Clicked Billing & Account Support,Apple iOS,29-08-2024,17.393
31-01-2025,196,15,SMART HELP,DR_SmartHelp - Internet Support,Clicked Internet Support,Apple iOS,29-08-2024,18.438
31-01-2025,197,15,SMART HELP,DR_SmartHelp - TV Support,Clicked TV Support,Apple iOS,29-08-2024,1.016
31-01-2025,198,15,SMART HELP,DR_SmartHelp - Homelife Support,Clicked Homelife Support,Apple iOS,29-08-2024,0.377
31-01-2025,199,15,SMART HELP,DR_SmartHelp - Agent Chat,Smarthelp_Interacted with Chat,Apple iOS,29-08-2024,0.755
31-01-2025,237,1,BIL LING,DR_Visits to Billing Home,Billing Section Visits,Google Android,29-08-2024,21322
31-01-2025,238,1,BIL LING,DR_Billing Make a Payment,Make Payments,Google Android,29-08-2024,40.235
31-01-2025,239,1,BIL LING,DR_Client Errors on Make Payment,Client Errors on Payment Page,Google Android,29-08-2024,0
31-01-2025,240,1,BIL LING,DR_Server Errors on Make Payment,Server Errors on Payment Page,Google Android,29-08-2024,1.119
31-01-2025,241,1,BIL LING,DR_Payment Submit,Payment Submit,Google Android,29-08-2024,36.211
31-01-2025,242,1,BIL LING,DR_Payments,Payment Success Rate,Google Android,29-08-2024,98.886
31-01-2025,243,1,BIL LING,DR_Promise to Pay,Promise to Pay - Linkout,Google Android,29-08-2024,0
31-01-2025,244,1,BIL LING,DR_Promise to Pay (Native),Promise to Pay - Native,Google Android,29-08-2024,7.148
31-01-2025,245,1,BIL LING,DR_CoxApp | Billing - Additional time to pay (Link out),Additional time to pay - Linkout,Google Android,29-08-2024,61.286
31-01-2025,246,1,BIL LING,DR_CoxApp | Billing - Future date payment (Link out),Future date payment - Linkout,Google Android,29-08-2024,7.021
31-01-2025,247,1,BIL LING,DR_Billing - View Bill Details,Bill Downloads,Google Android,29-08-2024,4.695
31-01-2025,248,1,BIL LING,DR_Billing - Activity & Statements,Activity & Statements,Google Android,29-08-2024,7.696
31-01-2025,249,1,BIL LING,DR_Billing - Automatic Payments,Easy Pay Enrollments,Google Android,29-08-2024,2.964
31-01-2025,250,1,BIL LING,DR_Billing - Manage Payment Methods,Payment Method Changes,Google Android,29-08-2024,3.766
31-01-2025,251,1,BIL LING,DR_Billing - Agreements & Discounts,Agreement & Discounts,Google Android,29-08-2024,3.128
31-01-2025,252,1,BIL LING,DR_Billing - Bill Delivery,Bill Delivery Options,Google Android,29-08-2024,1.051
31-01-2025,253,1,BIL LING,DR_Billing - Edit Billing Address,Address Changes,Google Android,29-08-2024,0.197
31-01-2025,254,1,BIL LING,DR_Billing - Move My Service,Move Service,Google Android,29-08-2024,0.849
31-01-2025,255,1,BIL LING,DR_Billing visits to chat,Billing_Interacted with chat,Google Android,29-08-2024,2.856
31-01-2025,332,7,LOG IN,DR_Login Page Visits,Login Page Visits,Google Android,29-08-2024,40378
31-01-2025,333,7,LOG IN,DR_Successful logins,Login Success Rate,Google Android,29-08-2024,84.952
31-01-2025,334,7,LOG IN,DR_Auto Logins,Share of Auto Login (Remember/Biometrics),Google Android,29-08-2024,51.758
31-01-2025,335,7,LOG IN,DR_Clicks to MFA Verification,with TSV,Google Android,29-08-2024,6.35
31-01-2025,336,7,LOG IN,DR_Clicks on Forgot User ID,User ID Recovery,Google Android,29-08-2024,1.436
31-01-2025,337,7,LOG IN,Clicks on Forgot Password,Password Reset,Google Android,29-08-2024,1.746
31-01-2025,338,7,LOG IN,DR_Need to Register,Registration,Google Android,29-08-2024,2.147
31-01-2025,351,9,OVER ALL,DR_Visits,Visits,Google Android,29-08-2024,40690
31-01-2025,352,9,OVER ALL,Unique Visitors,Visitors,Google Android,29-08-2024,36310
31-01-2025,353,9,OVER ALL,Page Views,Page Views,Google Android,29-08-2024,843595
31-01-2025,354,9,OVER ALL,Average Time Spent on Page,Average Time Spent (mins),Google Android,29-08-2024,4.1
31-01-2025,355,9,OVER ALL,DR_New Visitors,New Visitors,Google Android,29-08-2024,4.967
31-01-2025,356,9,OVER ALL,DR_Server Errors,Server Errors,Google Android,29-08-2024,14.082
31-01-2025,357,9,OVER ALL,DR_Overall Chat,Visits to Chat,Google Android,29-08-2024,4.151
31-01-2025,358,9,OVER ALL,DR_Message Us,Visits to Chat (Bot),Google Android,29-08-2024,3.133
31-01-2025,359,9,OVER ALL,DR_Agent Chat,Visits to Agent Chat (Skip bot),Google Android,29-08-2024,1.224
31-01-2025,360,9,OVER ALL,DR_Self Service Initiated,Visits to Self Service Features,Google Android,29-08-2024,54.869
31-01-2025,361,9,OVER ALL,DR_CoxApp | Visits with Chat and No Self Service Initiated,Visits with Chat but No Self Service,Google Android,29-08-2024,1.01
31-01-2025,362,9,OVER ALL,DR_CoxApp | Visits with No Self Service and No Chat,Visits with Neither Self Service nor Chat,Google Android,29-08-2024,30.855
31-01-2025,363,9,OVER ALL,DR_CoxApp | Visits not logged in,Not Logged-in Visits,Google Android,29-08-2024,15.117
31-01-2025,376,11,RESET MODEM,DR_Reset Modem - Home Page,Reset Modem Start Page Visits,Google Android,29-08-2024,1791
31-01-2025,377,11,RESET MODEM,DR_Reset Modem - Started Rebooting Process,Started Reset Process,Google Android,29-08-2024,91.625
31-01-2025,378,11,RESET MODEM,DR_Reset Modem - Rebooting Complete,Reset Process Complete,Google Android,29-08-2024,31.14
31-01-2025,379,11,RESET MODEM,DR_Reset Modem - Rebooting Incomplete,Reset Process Incomplete,Google Android,29-08-2024,34.247
31-01-2025,380,11,RESET MODEM,DR_Reset Modem - Agent Chat,Reset_Modem Interacted with Chat,Google Android,29-08-2024,12.797
31-01-2025,381,11,RESET MODEM,DR_Reset Modem - Error Outage,Error Outage,Google Android,29-08-2024,6.086
31-01-2025,382,11,RESET MODEM,DR_Reset Modem Error - Non Pay,Non Pay Error,Google Android,29-08-2024,0.391
