metric_id,metrics,display_names,operating_system_type,feature_name,unique_identifier,metric_nature,level_1,level_2,level_3,level_4,level_5,hierarchy_id,parent_id_old,metric_sequence_num,metric_seqno,level_no,feature_id,feature_seq_num,parent_id,create_dt
362,DR_CoxApp | Visits with No Self Service and No Chat,Visits with Neither Self Service nor Chat,Google Android,OVER ALL,OA,Negative,,Visits with Neither Self Service nor Chat,,,,Google Android_OA_1.8,Google Android_OA_1,126,12,2.0,9,1,351.0,2025-02-05
363,DR_CoxApp | Visits not logged in,Not Logged-in Visits,Google Android,OVER ALL,OA,Negative,,Not Logged-in Visits,,,,Google Android_OA_1.9,Google Android_OA_1,127,13,2.0,9,1,351.0,2025-02-05
364,DR_Native Registration Home Page,Visits to Registration Home Page,Google Android,RE GISTRATION (NATIVE),RG(,Positive,Visits to Registration Home Page,,,,,Google Android_RG(_1,,128,1,1.0,10,9,,2025-02-05
365,DR_Native Registration Confirmation,New Registrations,Google Android,RE GISTRATION (NATIVE),RG(,Positive,,New Registrations,,,,Google Android_RG(_1.1,Google Android_RG(_1,129,2,2.0,10,9,364.0,2025-02-05
366,DR_Native Registration - Already Registered,Already Registered,Google Android,RE GISTRATION (NATIVE),RG(,Positive,,Already Registered,,,,Google Android_RG(_1.2,Google Android_RG(_1,130,3,2.0,10,9,364.0,2025-02-05
367,DR_Native Registration - Did not Registered,Did not Register,Google Android,RE GISTRATION (NATIVE),RG(,Negative,,Did not Register,,,,Google Android_RG(_1.3,Google Android_RG(_1,131,4,2.0,10,9,364.0,2025-02-05
368,DR_Native Registration - Email Lookup,Email Lookup,Google Android,RE GISTRATION (NATIVE),RG(,Positive,Email Lookup,,,,,Google Android_RG(_2,,132,9,1.0,10,9,,2025-02-05
369,DR_Native Registration - Email Lookup Success,Email Lookup Success Rate,Google Android,RE GISTRATION (NATIVE),RG(,Positive,,Email Lookup Success Rate,,,,Google Android_RG(_2.1,Google Android_RG(_2,133,10,2.0,10,9,368.0,2025-02-05
370,DR_Native Registration - Server Form Errors,Reg_native Server Errors,Google Android,RE GISTRATION (NATIVE),RG(,Negative,,Reg_native Server Errors,,,,Google Android_RG(_2.2,Google Android_RG(_2,134,11,2.0,10,9,368.0,2025-02-05
371,DR_CoxApp | Chat from Registration Flow,Reg_native Interacted with Chat,Google Android,RE GISTRATION (NATIVE),RG(,Negative,,Reg_native Interacted with Chat,,,,Google Android_RG(_2.3,Google Android_RG(_2,135,12,2.0,10,9,368.0,2025-02-05
372,DR_Native Registration - Intent to Register,Intent to Register,Google Android,RE GISTRATION (NATIVE),RG(,Positive,Intent to Register,,,,,Google Android_RG(_3,,136,5,1.0,10,9,,2025-02-05
373,DR_Native Registration Success,Funnel Success Rate,Google Android,RE GISTRATION (NATIVE),RG(,Positive,,Funnel Success Rate,,,,Google Android_RG(_3.1,Google Android_RG(_3,137,6,2.0,10,9,372.0,2025-02-05
374,DR_Native Registration - Phone Lookup,Phone Lookup,Google Android,RE GISTRATION (NATIVE),RG(,Positive,Phone Lookup,,,,,Google Android_RG(_4,,138,7,1.0,10,9,,2025-02-05
375,DR_Native Registration - Phone Lookup Success,Phone Lookup Success Rate,Google Android,RE GISTRATION (NATIVE),RG(,Positive,,Phone Lookup Success Rate,,,,Google Android_RG(_4.1,Google Android_RG(_4,139,8,2.0,10,9,374.0,2025-02-05
