create_dt,metric_id,feature_name,metrics,display_names,operating_system_type,1st Quartile,3rd Quartile,IQR,Upper,Lower,Yesterday,last_7_days,last_30_days,% Change Last 7 Days,% Change Last 30 Days,metric_nature_indicator,colour_indicator
2025-02-06,15,BIL LING,DR_Billing - Agreements & Discounts,Agreement & Discounts,Apple iOS,2.731,3.122,0.391,3.416,2.438,3.039,2.932,2.822,3.6645387651673973,7.6895818568391405,Positive Within,White
2025-02-06,10000015,BIL LING,DR_Billing - Agreements & Discounts,Agreement & Discounts,Both,2.778,3.191,0.413,3.501,2.468,3.055,2.975,2.873,2.7038709057727277,6.3323742342677125,Positive Within,White
2025-02-06,251,BIL LING,DR_Billing - Agreements & Discounts,Agreement & Discounts,Google Android,2.913,3.283,0.37,3.561,2.635,3.109,3.119,3.043,-0.311483670010552,2.1812245971143276,Positive Within,White
2025-02-06,131,RE GISTRATION (NATIVE),DR_Native Registration - Already Registered,Already Registered,Apple iOS,21.548,23.684,2.135,25.285,19.947,23.785,25.251,23.631,-5.807309346005875,0.651118439798341,Positive Within,White
2025-02-06,100000128,RE GISTRATION (NATIVE),DR_Native Registration - Already Registered,Already Registered,Both,24.364,26.213,1.849,27.599,22.978,26.216,27.975,26.385,-6.289192556733461,-0.6410175427071089,Positive Within,White
2025-02-06,367,RE GISTRATION (NATIVE),DR_Native Registration - Already Registered,Already Registered,Google Android,29.417,32.109,2.692,34.128,27.398,31.884,33.497,31.949,-4.816574406564235,-0.2031368842119807,Positive Within,White
2025-02-06,212,S UPPORT,DR_Support - App Feedback,App Feedback,Apple iOS,0.832,0.97,0.139,1.075,0.728,1.087,0.899,0.885,20.96979332273448,22.81560711057547,Positive Above,Green
2025-02-06,100000209,S UPPORT,DR_Support - App Feedback,App Feedback,Both,0.633,0.746,0.112,0.83,0.549,0.836,0.69,0.679,21.234721359022153,23.19481284998524,Positive Above,Green
2025-02-06,446,S UPPORT,DR_Support - App Feedback,App Feedback,Google Android,0.0,0.0,0.0,0.0,0.0,0.0,,,0,0,Positive Within,White
2025-02-06,118,OVER ALL,Average Time Spent on Page,Average Time Spent (mins),Apple iOS,3.4,3.6,0.2,3.85,3.15,3.7,3.814,3.617,-2.9962546816479296,2.3041474654377794,Negative Within,White
2025-02-06,100000115,OVER ALL,Average Time Spent on Page,Average Time Spent (mins),Both,7.5,8.075,0.575,8.794,6.781,8.2,8.529,8.043,-3.8525963149078803,1.9477828429341024,Negative Within,White
2025-02-06,354,OVER ALL,Average Time Spent on Page,Average Time Spent (mins),Google Android,4.1,4.4,0.3,4.775,3.725,4.5,4.714,4.427,-4.5454545454545485,1.656626506024115,Negative Within,White
2025-02-06,16,BIL LING,DR_Billing - Bill Delivery,Bill Delivery Options,Apple iOS,1.071,1.205,0.134,1.305,0.971,1.103,1.129,1.149,-2.265822784810127,-4.036888811553872,Positive Within,White
2025-02-06,10000016,BIL LING,DR_Billing - Bill Delivery,Bill Delivery Options,Both,1.086,1.223,0.137,1.326,0.983,1.104,1.144,1.171,-3.508552878012208,-5.700130972040315,Positive Within,White
2025-02-06,252,BIL LING,DR_Billing - Bill Delivery,Bill Delivery Options,Google Android,1.116,1.297,0.181,1.433,0.98,1.109,1.197,1.242,-7.3517126148704985,-10.677369989529346,Positive Within,White
2025-02-06,11,BIL LING,DR_Billing - View Bill Details,Bill Downloads,Apple iOS,8.489,9.632,1.143,10.49,7.631,9.805,9.114,8.917,7.58511505423537,9.963027899169735,Positive Within,White
2025-02-06,10000011,BIL LING,DR_Billing - View Bill Details,Bill Downloads,Both,7.516,8.511,0.995,9.257,6.77,8.828,8.092,7.899,9.091551036260284,11.764283875541752,Positive Within,White
2025-02-06,247,BIL LING,DR_Billing - View Bill Details,Bill Downloads,Google Android,4.278,4.896,0.619,5.361,3.814,5.477,4.713,4.529,16.19991513608535,20.92376305389354,Positive Above,Green
2025-02-06,203,S UPPORT,DR_Support - Billing and Account,Billing & Account Support,Apple iOS,0.0,0.0,0.0,0.0,0.0,0.0,,,0,0,Positive Within,White
2025-02-06,100000200,S UPPORT,DR_Support - Billing and Account,Billing & Account Support,Both,0.0,0.0,0.0,0.0,0.0,0.0,,,0,0,Positive Within,White
2025-02-06,437,S UPPORT,DR_Support - Billing and Account,Billing & Account Support,Google Android,0.0,0.0,0.0,0.0,0.0,0.0,,,0,0,Positive Within,White
2025-02-06,1,BIL LING,DR_Visits to Billing Home,Billing Section Visits,Apple iOS,53851.25,68230.25,14379.0,86204.0,35877.5,59662.0,57673.571,59310.467,3.4477292149164653,0.5927003328248969,Positive Within,White
2025-02-06,1000001,BIL LING,DR_Visits to Billing Home,Billing Section Visits,Both,70027.25,88986.0,18958.75,112684.438,46328.812,77062.0,75147.286,77268.7,2.547948695038891,-0.2675080595376874,Positive Within,White
2025-02-06,237,BIL LING,DR_Visits to Billing Home,Billing Section Visits,Google Android,16142.25,20595.25,4453.0,26161.5,10576.0,17400.0,17473.714,17958.233,-0.4218581379378034,-3.108509188914278,Positive Within,White
2025-02-06,204,S UPPORT,DR_Support - Billing,Billing Support,Apple iOS,17.26,19.72,2.46,21.564,15.416,19.212,18.866,18.428,1.8363004414693438,4.255149809346693,Positive Within,White
2025-02-06,100000201,S UPPORT,DR_Support - Billing,Billing Support,Both,16.404,18.687,2.282,20.399,14.693,17.949,17.737,17.419,1.1968717027634488,3.043048942912712,Positive Within,White
2025-02-06,438,S UPPORT,DR_Support - Billing,Billing Support,Google Android,13.615,15.37,1.755,16.687,12.299,13.741,13.945,14.089,-1.4649087761353006,-2.4732424222350278,Positive Within,White
2025-02-06,19,BIL LING,DR_Billing visits to chat,Billing_Interacted with chat,Apple iOS,3.087,3.591,0.505,3.97,2.708,3.451,3.345,3.256,3.168908819133044,5.99219877760378,Negative Within,White
2025-02-06,10000019,BIL LING,DR_Billing visits to chat,Billing_Interacted with chat,Both,3.068,3.573,0.505,3.952,2.689,3.4,3.34,3.247,1.7833468759355098,4.709892005091747,Negative Within,White
2025-02-06,255,BIL LING,DR_Billing visits to chat,Billing_Interacted with chat,Google Android,3.036,3.576,0.54,3.981,2.631,3.224,3.326,3.218,-3.0542549078568624,0.1802249704803867,Negative Within,White
2025-02-06,57,E COMMERCE,DR_CRO Ecomm Traffic sent from App to cox.com,CRO,Apple iOS,19.906,23.38,3.474,25.986,17.3,22.628,20.87,20.617,8.422832344223794,9.753554088596356,Positive Within,White
2025-02-06,10000056,E COMMERCE,DR_CRO Ecomm Traffic sent from App to cox.com,CRO,Both,18.883,21.878,2.995,24.124,16.637,20.813,19.413,19.206,7.214029200518067,8.36792924384216,Positive Within,White
2025-02-06,293,E COMMERCE,DR_CRO Ecomm Traffic sent from App to cox.com,CRO,Google Android,14.118,15.842,1.724,17.136,12.825,13.908,13.826,13.667,0.593085491103723,1.7663500797564906,Positive Within,White
2025-02-06,196,SMART HELP,DR_SmartHelp - Billing & Account Support,Clicked Billing & Account Support,Apple iOS,16.842,18.939,2.098,20.512,15.269,19.132,17.74,17.552,7.848411151733813,8.999960119186651,Positive Within,White
2025-02-06,100000193,SMART HELP,DR_SmartHelp - Billing & Account Support,Clicked Billing & Account Support,Both,16.732,18.462,1.73,19.76,15.435,18.025,17.379,17.363,3.7171298693825934,3.814299591846143,Positive Within,White
2025-02-06,430,SMART HELP,DR_SmartHelp - Billing & Account Support,Clicked Billing & Account Support,Google Android,15.981,17.903,1.922,19.345,14.539,15.857,16.691,16.987,-4.997517930810166,-6.650680334849554,Positive Within,White
2025-02-06,199,SMART HELP,DR_SmartHelp - Homelife Support,Clicked Homelife Support,Apple iOS,0.254,0.396,0.142,0.503,0.148,0.372,0.328,0.354,13.315926892950388,5.055069189494501,Positive Within,White
2025-02-06,100000196,SMART HELP,DR_SmartHelp - Homelife Support,Clicked Homelife Support,Both,0.268,0.41,0.142,0.516,0.162,0.328,0.354,0.363,-7.419354838709667,-9.708203340062397,Positive Within,White
2025-02-06,433,SMART HELP,DR_SmartHelp - Homelife Support,Clicked Homelife Support,Google Android,0.252,0.44,0.188,0.581,0.112,0.243,0.407,0.38,-40.23190442726634,-36.10867659947415,Positive Within,White
2025-02-06,197,SMART HELP,DR_SmartHelp - Internet Support,Clicked Internet Support,Apple iOS,17.069,18.419,1.35,19.432,16.056,18.512,17.957,17.961,3.0898965791567137,3.0675666396328394,Positive Within,White
2025-02-06,100000194,SMART HELP,DR_SmartHelp - Internet Support,Clicked Internet Support,Both,16.413,17.422,1.01,18.18,15.655,17.183,17.426,17.312,-1.392042892629051,-0.7440012014926339,Positive Within,White
2025-02-06,431,SMART HELP,DR_SmartHelp - Internet Support,Clicked Internet Support,Google Android,14.666,16.35,1.684,17.613,13.403,14.581,16.415,15.999,-11.174253961899634,-8.865142578560386,Positive Within,White
2025-02-06,198,SMART HELP,DR_SmartHelp - TV Support,Clicked TV Support,Apple iOS,1.149,1.491,0.342,1.747,0.893,1.333,1.478,1.406,-9.827986084267488,-5.165054069436555,Positive Within,White
2025-02-06,100000195,SMART HELP,DR_SmartHelp - TV Support,Clicked TV Support,Both,1.091,1.422,0.331,1.67,0.843,1.15,1.421,1.36,-19.095477386934682,-15.439103899605367,Positive Within,White
2025-02-06,432,SMART HELP,DR_SmartHelp - TV Support,Clicked TV Support,Google Android,0.885,1.372,0.487,1.737,0.52,0.79,1.308,1.268,-39.6090422627498,-37.68077833289508,Positive Within,White
2025-02-06,3,BIL LING,DR_Client Errors on Make Payment,Client Errors on Payment Page,Apple iOS,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.001,-100.0,-100.0,Negative Within,White
