create_dt,metric_id,feature_id,unique_identifier,feature_name,metrics,display_names,operating_system_type,Date,Value
2025-01-22,388,12,RTB,RESET TV BOX,DR_Reset Tvbox - Incomplete,Reset_TV Process Incomplete,Google Android,29-08-2024,22.414
2025-01-22,389,12,RTB,RESET TV BOX,DR_Reset Tvbox - Agent Chat,Reset_TV Interacted with Chat,Google Android,29-08-2024,12.931
2025-01-22,390,12,RTB,RESET TV BOX,DR_Reset Tvbox - Error Outage,Reset_TV Error Outage,Google Android,29-08-2024,6.299
2025-01-22,391,12,RTB,RESET TV BOX,DR_Reset Tvbox Error - Non Pay,Reset_TV Non Pay Error,Google Android,29-08-2024,0.0
2025-01-22,392,12,RTB,RESET TV BOX,DR_Reset Tvbox Error - DMCA,Reset_TV DMCA Error,Google Android,29-08-2024,0.0
2025-01-22,417,15,SH,SMART HELP,DR_SmartHelp - Landing Page,Devices Page Visits,Google Android,29-08-2024,1699.0
2025-01-22,418,15,SH,SMART HELP,DR_SmartHelp - Started,Started Troubleshooting (Solution Center),Google Android,29-08-2024,2.707
2025-01-22,419,15,SH,SMART HELP,DR_SmartHelp - Result,Saw a Result,Google Android,29-08-2024,100.0
2025-01-22,420,15,SH,SMART HELP,DR_SmartHelp Result - Unknown,1st common reason (Unknown),Google Android,29-08-2024,78.261
2025-01-22,421,15,SH,SMART HELP,DR_SmartHelp Result - Disconnected,2nd common reason (Disconnected),Google Android,29-08-2024,10.87
2025-01-22,422,15,SH,SMART HELP,DR_SmartHelp Result - Incomplete Install,3rd common reason (Incomplete Install),Google Android,29-08-2024,8.696
2025-01-22,423,15,SH,SMART HELP,DR_SmartHelp - Reboot Flow Started,Did a Device Reboot,Google Android,29-08-2024,1.295
2025-01-22,424,15,SH,SMART HELP,DR_SmartHelp - P&P,Started Proactive and Preventive (P&P),Google Android,29-08-2024,56.916
2025-01-22,425,15,SH,SMART HELP,DR_Smarthelp P&P - Let's troubleshoot together,Started P&P troubleshooting,Google Android,29-08-2024,53.568
2025-01-22,426,15,SH,SMART HELP,DR_Smarthelp P&P - Reset Complete,Smarthelp Reset Complete,Google Android,29-08-2024,15.202
2025-01-22,427,15,SH,SMART HELP,DR_Smarthelp P&P - Let's schedule a technician visit,Schedule Tech,Google Android,29-08-2024,16.029
2025-01-22,428,15,SH,SMART HELP,DR_Smarthelp P&P - Connect with a support agent,Connect with Agent,Google Android,29-08-2024,2.999
2025-01-22,429,15,SH,SMART HELP,DR_Smarthelp P&P - Interacted with Chat Agent,Smarthelp_P&P Interacted with Chat,Google Android,29-08-2024,12.41
2025-01-22,430,15,SH,SMART HELP,DR_SmartHelp - Billing & Account Support,Clicked Billing & Account Support,Google Android,29-08-2024,15.597
2025-01-22,431,15,SH,SMART HELP,DR_SmartHelp - Internet Support,Clicked Internet Support,Google Android,29-08-2024,13.891
2025-01-22,432,15,SH,SMART HELP,DR_SmartHelp - TV Support,Clicked TV Support,Google Android,29-08-2024,0.824
2025-01-22,433,15,SH,SMART HELP,DR_SmartHelp - Homelife Support,Clicked Homelife Support,Google Android,29-08-2024,0.412
2025-01-22,434,15,SH,SMART HELP,DR_SmartHelp - Agent Chat,Smarthelp_Interacted with Chat,Google Android,29-08-2024,1.059
2025-01-22,Both_ID_1,11,RM,RESET MODEM,DR_Reset Modem - Home Page,Reset Modem Start Page Visits,Both,29-08-2024,7097.0
2025-01-22,Both_ID_2,11,RM,RESET MODEM,DR_Reset Modem - Started Rebooting Process,Started Reset Process,Both,29-08-2024,91.306
2025-01-22,Both_ID_3,11,RM,RESET MODEM,DR_Reset Modem - Rebooting Complete,Reset Process Complete,Both,29-08-2024,30.694
2025-01-22,Both_ID_4,11,RM,RESET MODEM,DR_Reset Modem - Rebooting Incomplete,Reset Process Incomplete,Both,29-08-2024,42.639
2025-01-22,Both_ID_5,11,RM,RESET MODEM,DR_Reset Modem - Agent Chat,Reset_Modem Interacted with Chat,Both,29-08-2024,14.12
2025-01-22,Both_ID_6,11,RM,RESET MODEM,DR_Reset Modem - Error Outage,Error Outage,Both,29-08-2024,1.536
2025-01-22,Both_ID_7,11,RM,RESET MODEM,DR_Reset Modem Error - Non Pay,Non Pay Error,Both,29-08-2024,0.099
2025-01-22,Both_ID_8,11,RM,RESET MODEM,DR_Reset Modem Error -DMCA,DMCA Error,Both,29-08-2024,0.169
2025-01-22,Both_ID_9,12,RTB,RESET TV BOX,DR_Reset Tvbox - Home Page,Reset TV Box Start Page Visits,Both,29-08-2024,917.0
2025-01-22,Both_ID_10,12,RTB,RESET TV BOX,DR_Reset Tvbox - Rebooting,Reset_TV Started Reset Process,Both,29-08-2024,92.585
2025-01-22,Both_ID_11,12,RTB,RESET TV BOX,DR_Reset Tvbox - Complete,Reset_TV Process Complete,Both,29-08-2024,33.687
2025-01-22,Both_ID_12,12,RTB,RESET TV BOX,DR_Reset Tvbox - Incomplete,Reset_TV Process Incomplete,Both,29-08-2024,37.927
2025-01-22,Both_ID_13,12,RTB,RESET TV BOX,DR_Reset Tvbox - Agent Chat,Reset_TV Interacted with Chat,Both,29-08-2024,16.843
2025-01-22,Both_ID_14,12,RTB,RESET TV BOX,DR_Reset Tvbox - Error Outage,Reset_TV Error Outage,Both,29-08-2024,1.745
2025-01-22,Both_ID_15,12,RTB,RESET TV BOX,DR_Reset Tvbox Error - Non Pay,Reset_TV Non Pay Error,Both,29-08-2024,0.0
2025-01-22,Both_ID_16,12,RTB,RESET TV BOX,DR_Reset Tvbox Error - DMCA,Reset_TV DMCA Error,Both,29-08-2024,0.0
2025-01-22,Both_ID_17,15,SH,SMART HELP,DR_SmartHelp - Landing Page,Devices Page Visits,Both,29-08-2024,5143.0
2025-01-22,Both_ID_18,15,SH,SMART HELP,DR_SmartHelp - Started,Started Troubleshooting (Solution Center),Both,29-08-2024,2.45
2025-01-22,Both_ID_19,15,SH,SMART HELP,DR_SmartHelp - Result,Saw a Result,Both,29-08-2024,96.825
2025-01-22,Both_ID_20,15,SH,SMART HELP,DR_SmartHelp Result - Unknown,1st common reason (Unknown),Both,29-08-2024,78.689
2025-01-22,Both_ID_21,15,SH,SMART HELP,DR_SmartHelp Result - Disconnected,2nd common reason (Disconnected),Both,29-08-2024,13.115
2025-01-22,Both_ID_22,15,SH,SMART HELP,DR_SmartHelp Result - Incomplete Install,3rd common reason (Incomplete Install),Both,29-08-2024,6.557
2025-01-22,Both_ID_23,15,SH,SMART HELP,DR_SmartHelp - Reboot Flow Started,Did a Device Reboot,Both,29-08-2024,1.05
2025-01-22,Both_ID_24,15,SH,SMART HELP,DR_SmartHelp - P&P,Started Proactive and Preventive (P&P),Both,29-08-2024,58.565
2025-01-22,Both_ID_25,15,SH,SMART HELP,DR_Smarthelp P&P - Let's troubleshoot together,Started P&P troubleshooting,Both,29-08-2024,54.714
