metric_id,metrics,display_names,operating_system_type,feature_name,unique_identifier,level_1,level_2,level_3,level_4,level_5,hierarchy_id,parent_id_old,metric_sequence_num,level_no,feature_id,parent_id,metric_nature,create_dt
27,DR_Change Plan - New,Coxmob Change Plan - Native,Apple iOS,COX MOBILE,CM,,,Coxmob Change Plan - Native,,,Apple iOS_CM_1.1.4,Apple iOS_CM_1.1,27,3,2,21.0,Positive,2025-01-27
28,DR_Change plan - Account Restrictions,Coxmob Account Restrictions,Apple iOS,COX MOBILE,CM,,,,Coxmob Account Restrictions,,Apple iOS_CM_1.1.4.1,Apple iOS_CM_1.1.4,28,4,2,27.0,Negative,2025-01-27
29,DR_Change plan Confirmation,Coxmob Plan Purchased,Apple iOS,COX MOBILE,CM,,,,Coxmob Plan Purchased,,Apple iOS_CM_1.1.4.2,Apple iOS_CM_1.1.4,29,4,2,27.0,Positive,2025-01-27
30,DR_Change Plan - Pay as Gig,Coxmob Gig Plan,Apple iOS,COX MOBILE,CM,,,,,Coxmob Gig Plan,Apple iOS_CM_1.1.4.2.1,Apple iOS_CM_1.1.4.2,30,5,2,29.0,Positive,2025-01-27
31,DR_Change Plan - Unlimited,Coxmob Unlimited Plan,Apple iOS,COX MOBILE,CM,,,,,Coxmob Unlimited Plan,Apple iOS_CM_1.1.4.2.2,Apple iOS_CM_1.1.4.2,31,5,2,29.0,Positive,2025-01-27
32,DR_Welcome Guide,Coxmob Welcome Guide,Apple iOS,COX MOBILE,CM,,,Coxmob Welcome Guide,,,Apple iOS_CM_1.1.5,Apple iOS_CM_1.1,32,3,2,21.0,Positive,2025-01-27
33,DR_Device Payment Plan,Coxmob Device Payment Plan,Apple iOS,COX MOBILE,CM,,,Coxmob Device Payment Plan,,,Apple iOS_CM_1.1.6,Apple iOS_CM_1.1,33,3,2,21.0,Positive,2025-01-27
34,DR_Insurance Claim,File a Claim,Apple iOS,COX MOBILE,CM,,,File a Claim,,,Apple iOS_CM_1.1.7,Apple iOS_CM_1.1,34,3,2,21.0,Negative,2025-01-27
35,DR_Opted for Pay as you Gig Plan,Coxmob Pay as you Gig,Apple iOS,COX MOBILE,CM,,Coxmob Pay as you Gig,,,,Apple iOS_CM_1.2,Apple iOS_CM_1,35,2,2,20.0,Positive,2025-01-27
36,DR_Opted for Gig Unlimited Plan,Coxmob Gig Unlimited Plan,Apple iOS,COX MOBILE,CM,,Coxmob Gig Unlimited Plan,,,,Apple iOS_CM_1.3,Apple iOS_CM_1,36,2,2,20.0,Positive,2025-01-27
37,DR_Mobile Billing Home,Coxmob Billing Home,Apple iOS,COX MOBILE,CM,,Coxmob Billing Home,,,,Apple iOS_CM_1.4,Apple iOS_CM_1,37,2,2,20.0,Positive,2025-01-27
38,DR_Mobile Billing - Additional Payment,Coxmob Make Additional Payment,Apple iOS,COX MOBILE,CM,,Coxmob Make Additional Payment,,,,Apple iOS_CM_1.5,Apple iOS_CM_1,38,2,2,20.0,Positive,2025-01-27
39,DR_Mobile Billing - Payment Method,Coxmob Payment Method Changes,Apple iOS,COX MOBILE,CM,,Coxmob Payment Method Changes,,,,Apple iOS_CM_1.6,Apple iOS_CM_1,39,2,2,20.0,Positive,2025-01-27
40,DR_Mobile Billing - Activity & Statements,Coxmob Activity & Statements,Apple iOS,COX MOBILE,CM,,Coxmob Activity & Statements,,,,Apple iOS_CM_1.7,Apple iOS_CM_1,40,2,2,20.0,Positive,2025-01-27
41,DR_Mobile Billing - Easypay Confirmation,Coxmob Easypay Enrollment,Apple iOS,COX MOBILE,CM,,Coxmob Easypay Enrollment,,,,Apple iOS_CM_1.8,Apple iOS_CM_1,41,2,2,20.0,Positive,2025-01-27
42,DR_Mobile Billing - Bill Delivery Confirmation,Coxmob Bill Delivery Changes,Apple iOS,COX MOBILE,CM,,Coxmob Bill Delivery Changes,,,,Apple iOS_CM_1.9,Apple iOS_CM_1,42,2,2,20.0,Positive,2025-01-27
43,DR_Wireless Support,Coxmob Support Section,Apple iOS,COX MOBILE,CM,,Coxmob Support Section,,,,Apple iOS_CM_1.10,Apple iOS_CM_1,43,2,2,20.0,Positive,2025-01-27
44,DR_Total Data Usage Visits,Total Data Usage Visits,Apple iOS,DATA USAGE,DU,Total Data Usage Visits,,,,,Apple iOS_DU_1,,44,1,3,,Positive,2025-01-27
45,DR_Data Plan upgrade,Data Plan Upgrade,Apple iOS,DATA USAGE,DU,,Data Plan Upgrade,,,,Apple iOS_DU_1.1,Apple iOS_DU_1,45,2,3,44.0,Positive,2025-01-27
46,DR_Data Usage Learn More,Learn More,Apple iOS,DATA USAGE,DU,,Learn More,,,,Apple iOS_DU_1.2,Apple iOS_DU_1,46,2,3,44.0,Positive,2025-01-27
47,DR_Data Usage Courtesy Credits,Courtesy Credit,Apple iOS,DATA USAGE,DU,,Courtesy Credit,,,,Apple iOS_DU_1.3,Apple iOS_DU_1,47,2,3,44.0,Positive,2025-01-27
48,DR_Total Data Usage >=75%,Data usage >=75%,Apple iOS,DATA USAGE,DU,,Data usage >=75%,,,,Apple iOS_DU_1.4,Apple iOS_DU_1,48,2,3,44.0,Positive,2025-01-27
49,DR_Total Data Usage >=100%,Data usage >=100%,Apple iOS,DATA USAGE,DU,,Data usage >=100%,,,,Apple iOS_DU_1.5,Apple iOS_DU_1,49,2,3,44.0,Positive,2025-01-27
50,DR_Data Usage - Agent Chat Started,Data_usage Interacted with Chat,Apple iOS,DATA USAGE,DU,,Data_usage Interacted with Chat,,,,Apple iOS_DU_1.6,Apple iOS_DU_1,50,2,3,44.0,Negative,2025-01-27
51,DR_Direct Ecomm Visits Traffic from to Cox.com,Total Visits from web ecomm,Apple iOS,E COMMERCE,EC,,,,,,,,51,1,4,,Positive,2025-01-27
52,DR_Direct Ecomm order Traffic sent from cox.com,Total Orders from web ecomm,Apple iOS,E COMMERCE,EC,,,,,,,,52,1,4,,Positive,2025-01-27
53,DR_Direct Ecomm Traffic sent from App to cox.com,Visits sent from app to cox.com,Apple iOS,E COMMERCE,EC,Visits sent from app to cox.com,,,,,Apple iOS_EC_1,,53,1,4,,Positive,2025-01-27
54,DR_Direct Ecomm order Traffic sent from App to cox.com,Orders generated,Apple iOS,E COMMERCE,EC,,,,,,,,54,1,4,,Positive,2025-01-27
55,DR_Data Plan Upgrade Ecomm Traffic sent from App to cox.com,Data Usage,Apple iOS,E COMMERCE,EC,,Data Usage,,,,Apple iOS_EC_1.1,Apple iOS_EC_1,55,2,4,53.0,Positive,2025-01-27
56,DR_Service Plan Upgrade Ecomm Traffic sent from App to cox.com,Plan Changes,Apple iOS,E COMMERCE,EC,,Plan Changes,,,,Apple iOS_EC_1.2,Apple iOS_EC_1,56,2,4,53.0,Positive,2025-01-27
57,DR_CRO Ecomm Traffic sent from App to cox.com,CRO,Apple iOS,E COMMERCE,EC,,CRO,,,,Apple iOS_EC_1.3,Apple iOS_EC_1,57,2,4,53.0,Positive,2025-01-27
58,DR_Transfer Ecomm Traffic sent from App to cox.com,Transfer,Apple iOS,E COMMERCE,EC,,Transfer,,,,Apple iOS_EC_1.4,Apple iOS_EC_1,58,2,4,53.0,Positive,2025-01-27
59,DR_Visits where One EC Card was shown,Easy Connect Eligible Visits,Apple iOS,EASY CON NECT,ECN,Easy Connect Eligible Visits,,,,,Apple iOS_ECN_1,,59,1,5,,Positive,2025-01-27
60,DR_EC Flow>Success,Overall Success,Apple iOS,EASY CON NECT,ECN,,Overall Success,,,,Apple iOS_ECN_1.1,Apple iOS_ECN_1,60,2,5,59.0,Positive,2025-01-27
61,DR_EC>Failure,Overall Failure,Apple iOS,EASY CON NECT,ECN,,Overall Failure,,,,Apple iOS_ECN_1.2,Apple iOS_ECN_1,61,2,5,59.0,Negative,2025-01-27
62,DR_EC Flow>Timeout,Overall Timeout,Apple iOS,EASY CON NECT,ECN,,Overall Timeout,,,,Apple iOS_ECN_1.3,Apple iOS_ECN_1,62,2,5,59.0,Negative,2025-01-27
63,DR_EC>No Result,Overall No Result,Apple iOS,EASY CON NECT,ECN,,Overall No Result,,,,Apple iOS_ECN_1.4,Apple iOS_ECN_1,63,2,5,59.0,Negative,2025-01-27
64,DR_Easy Connect - Started,Started the Flow,Apple iOS,EASY CON NECT,ECN,,Started the Flow,,,,Apple iOS_ECN_1.5,Apple iOS_ECN_1,64,2,5,59.0,Positive,2025-01-27
65,DR_Easy Connect Started - Success,Success,Apple iOS,EASY CON NECT,ECN,,,Success,,,Apple iOS_ECN_1.5.1,Apple iOS_ECN_1.5,65,3,5,64.0,Positive,2025-01-27
66,DR_Easy Connect Started - Failure,Failure,Apple iOS,EASY CON NECT,ECN,,,Failure,,,Apple iOS_ECN_1.5.2,Apple iOS_ECN_1.5,66,3,5,64.0,Negative,2025-01-27
67,DR_Easy Connect Started - Timeout,Timeout,Apple iOS,EASY CON NECT,ECN,,,Timeout,,,Apple iOS_ECN_1.5.3,Apple iOS_ECN_1.5,67,3,5,64.0,Negative,2025-01-27
68,DR_Easy Connect Started - No Result,No Result,Apple iOS,EASY CON NECT,ECN,,,No Result,,,Apple iOS_ECN_1.5.4,Apple iOS_ECN_1.5,68,3,5,64.0,Negative,2025-01-27
69,DR_Easy Connect - Started Agent Chat,Easyconnect_Interacted with Chat,Apple iOS,EASY CON NECT,ECN,,,Easyconnect_Interacted with Chat,,,Apple iOS_ECN_1.5.5,Apple iOS_ECN_1.5,69,3,5,64.0,Negative,2025-01-27
70,DR_Visits who did not Start EC Flow,Did Not Start the Flow,Apple iOS,EASY CON NECT,ECN,,Did Not Start the Flow,,,,Apple iOS_ECN_1.6,Apple iOS_ECN_1,70,2,5,59.0,Negative,2025-01-27
71,DR_Visits who did not Start EC Flow - Success,Did_not Success,Apple iOS,EASY CON NECT,ECN,,,Did_not Success,,,Apple iOS_ECN_1.6.1,Apple iOS_ECN_1.6,71,3,5,70.0,Positive,2025-01-27
