"primary_intent_detail","contact_dt","sub_contact_id","contained","containment_rate"
"PnP","2024-06-24","1806","1539","85.22"
"PnP","2024-06-23","1955","1726","88.29"
"SmartHelp","2024-06-23","1492","1412","94.64"
"PnP","2024-06-22","1894","1689","89.18"
"SmartHelp","2024-06-22","1575","1506","95.62"
"PnP","2024-06-21","1880","1637","87.07"
"SmartHelp","2024-06-21","1684","1590","94.42"
"SmartHelp","2024-06-20","1647","1555","94.41"
"PnP","2024-06-20","1825","1589","87.07"
"SmartHelp","2024-06-19","1824","1734","95.07"
"PnP","2024-06-19","1969","1728","87.76"
"SmartHelp","2024-06-18","1756","1666","94.87"
"PnP","2024-06-18","1927","1672","86.77"
"PnP","2024-06-17","1783","1510","84.69"
"SmartHelp","2024-06-17","1696","1594","93.99"
"SmartHelp","2024-06-16","1159","1099","94.82"
"PnP","2024-06-16","1468","1301","88.62"
"PnP","2024-06-15","1573","1374","87.35"
"SmartHelp","2024-06-15","1394","1311","94.05"
"PnP","2024-06-14","2049","1818","88.73"
"SmartHelp","2024-06-14","1811","1724","95.2"
"PnP","2024-06-13","1956","1715","87.68"
"SmartHelp","2024-06-13","1831","1741","95.08"
"PnP","2024-06-12","1844","1634","88.61"
"SmartHelp","2024-06-12","1640","1549","94.45"
"SmartHelp","2024-06-11","1616","1507","93.25"
"PnP","2024-06-11","1815","1576","86.83"
"SmartHelp","2024-06-10","1469","1374","93.53"
"PnP","2024-06-10","1703","1466","86.08"
"PnP","2024-06-09","1538","1349","87.71"
"SmartHelp","2024-06-09","1264","1198","94.78"
"PnP","2024-06-08","1480","1316","88.92"
"SmartHelp","2024-06-08","1440","1355","94.1"
"PnP","2024-06-07","1872","1601","85.52"
"SmartHelp","2024-06-07","1768","1649","93.27"
"SmartHelp","2024-06-06","1594","1496","93.85"
"PnP","2024-06-06","1838","1565","85.15"
"PnP","2024-06-05","1735","1480","85.3"
"SmartHelp","2024-06-05","1664","1565","94.05"
"PnP","2024-06-04","1739","1501","86.31"
"SmartHelp","2024-06-04","1718","1602","93.25"
"PnP","2024-06-03","1641","1393","84.89"
"SmartHelp","2024-06-03","1664","1553","93.33"
"SmartHelp","2024-06-02","1340","1268","94.63"
"PnP","2024-06-02","1486","1321","88.9"
"SmartHelp","2024-06-01","1620","1522","93.95"
"PnP","2024-06-01","1670","1425","85.33"
"PnP","2024-05-31","1696","1460","86.08"
"SmartHelp","2024-05-31","1677","1564","93.26"
"PnP","2024-05-30","1707","1514","88.69"
"SmartHelp","2024-05-30","1670","1577","94.43"
"SmartHelp","2024-05-29","1554","1463","94.14"
"PnP","2024-05-29","1659","1446","87.16"
