metric_id,metrics,operating_system_type,display_names,feature_name,unique_identifier,level_1,level_2,level_3,level_4,level_5,hierarchy_id,parent_id_old,metric_sequence_num,level_no,feature_id,parent_id,create_dt
1,DR_Visits to Billing Home,Apple iOS,Billing Section Visits,BIL LING,BL,Billing Section Visits,,,,,Apple iOS_BL_1,,1,1,1,,1/3/2025
2,DR_Billing Make a Payment,Apple iOS,Make Payments,BIL LING,BL,,Make Payments,,,,Apple iOS_BL_1.1,Apple iOS_BL_1,2,2,1,1,1/3/2025
3,DR_Client Errors on Make Payment,Apple iOS,Client Errors on Payment Page,BIL LING,BL,,,Client Errors on Payment Page,,,Apple iOS_BL_1.1.1,Apple iOS_BL_1.1,3,3,1,2,1/3/2025
4,DR_Server Errors on Make Payment,Apple iOS,Server Errors on Payment Page,BIL LING,BL,,,Server Errors on Payment Page,,,Apple iOS_BL_1.1.2,Apple iOS_BL_1.1,4,3,1,2,1/3/2025
5,DR_Payment Submit,Apple iOS,Payment Submit,BIL LING,BL,,Payment Submit,,,,Apple iOS_BL_1.2,Apple iOS_BL_1,5,2,1,1,1/3/2025
6,DR_Payments,Apple iOS,Payment Success Rate,BIL LING,BL,,,Payment Success Rate,,,Apple iOS_BL_1.2.1,Apple iOS_BL_1.2,6,3,1,5,1/3/2025
7,DR_Promise to Pay,Apple iOS,Promise to Pay - Linkout,BIL LING,BL,,Promise to Pay - Linkout,,,,Apple iOS_BL_1.3,Apple iOS_BL_1,7,2,1,1,1/3/2025
8,DR_Promise to Pay (Native),Apple iOS,Promise to Pay - Native,BIL LING,BL,,Promise to Pay - Native,,,,Apple iOS_BL_1.4,Apple iOS_BL_1,8,2,1,1,1/3/2025
9,DR_CoxApp | Billing - Additional time to pay (Link out),Apple iOS,Additional time to pay - Linkout,BIL LING,BL,,,Additional time to pay - Linkout,,,Apple iOS_BL_1.4.1,Apple iOS_BL_1.4,9,3,1,8,1/3/2025
10,DR_CoxApp | Billing - Future date payment (Link out),Apple iOS,Future date payment - Linkout,BIL LING,BL,,,Future date payment - Linkout,,,Apple iOS_BL_1.4.2,Apple iOS_BL_1.4,10,3,1,8,1/3/2025
11,DR_Billing - View Bill Details,Apple iOS,Bill Downloads,BIL LING,BL,,Bill Downloads,,,,Apple iOS_BL_1.5,Apple iOS_BL_1,11,2,1,1,1/3/2025
12,DR_Billing - Activity & Statements,Apple iOS,Activity & Statements,BIL LING,BL,,Activity & Statements,,,,Apple iOS_BL_1.6,Apple iOS_BL_1,12,2,1,1,1/3/2025
13,DR_Billing - Automatic Payments,Apple iOS,Easy Pay Enrollments,BIL LING,BL,,Easy Pay Enrollments,,,,Apple iOS_BL_1.7,Apple iOS_BL_1,13,2,1,1,1/3/2025
14,DR_Billing - Manage Payment Methods,Apple iOS,Payment Method Changes,BIL LING,BL,,Payment Method Changes,,,,Apple iOS_BL_1.8,Apple iOS_BL_1,14,2,1,1,1/3/2025
15,DR_Billing - Agreements & Discounts,Apple iOS,Agreement & Discounts,BIL LING,BL,,Agreement & Discounts,,,,Apple iOS_BL_1.9,Apple iOS_BL_1,15,2,1,1,1/3/2025
16,DR_Billing - Bill Delivery,Apple iOS,Bill Delivery Options,BIL LING,BL,,Bill Delivery Options,,,,Apple iOS_BL_1.10,Apple iOS_BL_1,16,2,1,1,1/3/2025
17,DR_Billing - Edit Billing Address,Apple iOS,Address Changes,BIL LING,BL,,Address Changes,,,,Apple iOS_BL_1.11,Apple iOS_BL_1,17,2,1,1,1/3/2025
18,DR_Billing - Move My Service,Apple iOS,Move Service,BIL LING,BL,,Move Service,,,,Apple iOS_BL_1.12,Apple iOS_BL_1,18,2,1,1,1/3/2025
19,DR_Billing visits to chat,Apple iOS,Billing_Interacted with chat,BIL LING,BL,,Billing_Interacted with chat,,,,Apple iOS_BL_1.13,Apple iOS_BL_1,19,2,1,1,1/3/2025
20,DR_Wireless Service,Apple iOS,Visits from 'Cox Mobile' users,COX MOBILE,CM,Visits from 'Cox Mobile' users,,,,,Apple iOS_CM_1,,20,1,2,,1/3/2025
21,DR_Mymobile HomePage Visits,Apple iOS,Coxmob Line Detail Page,COX MOBILE,CM,,Coxmob Line Detail Page,,,,Apple iOS_CM_1.1,Apple iOS_CM_1,21,2,2,20,1/3/2025
22,DR_Mobile Lock Enabled,Apple iOS,,COX MOBILE,CM,,,,,,,,22,1,2,,1/3/2025
23,DR_Mobile Lock Disabled,Apple iOS,,COX MOBILE,CM,,,,,,,,23,1,2,,1/3/2025
24,DR_Change Status Exit link,Apple iOS,Coxmob Change Status External Link,COX MOBILE,CM,,,Coxmob Change Status External Link,,,Apple iOS_CM_1.1.1,Apple iOS_CM_1.1,24,3,2,21,1/3/2025
25,DR_Add a Line,Apple iOS,Coxmob Add a Line,COX MOBILE,CM,,,Coxmob Add a Line,,,Apple iOS_CM_1.1.2,Apple iOS_CM_1.1,25,3,2,21,1/3/2025
26,DR_Change your Plan,Apple iOS,Coxmob Change  Plan - linkout,COX MOBILE,CM,,,Coxmob Change  Plan - linkout,,,Apple iOS_CM_1.1.3,Apple iOS_CM_1.1,26,3,2,21,1/3/2025
27,DR_Change Plan - New,Apple iOS,Coxmob Change Plan - Native,COX MOBILE,CM,,,Coxmob Change Plan - Native,,,Apple iOS_CM_1.1.4,Apple iOS_CM_1.1,27,3,2,21,1/3/2025
28,DR_Change plan - Account Restrictions,Apple iOS,Coxmob Account Restrictions,COX MOBILE,CM,,,,Coxmob Account Restrictions,,Apple iOS_CM_1.1.4.1,Apple iOS_CM_1.1.4,28,4,2,27,1/3/2025
29,DR_Change plan Confirmation,Apple iOS,Coxmob Plan Purchased,COX MOBILE,CM,,,,Coxmob Plan Purchased,,Apple iOS_CM_1.1.4.2,Apple iOS_CM_1.1.4,29,4,2,27,1/3/2025
