"channel_group","month_end","activity","accounts changed target","net revenue target","compl_psu_conn_target"
"Inbound","6/1/20","Disconnect","4850","-487660.88","66123"
"Inbound","6/1/20","Downgrade","377","-12192.18","66123"
"Inbound","6/1/20","Downtier","2109","-57216.52","66123"
"Inbound","6/1/20","New Connect","31141","2579745.45","66123"
"Inbound","6/1/20","Transfer","16043","-74038.89","66123"
"Inbound","6/1/20","Upgrade","5902","265270.59","66123"
"Inbound","6/1/20","Uptier","18197","396608.61","66123"
"Inbound","7/1/20","Disconnect","5390","-538661.65","70444"
"Inbound","7/1/20","Downgrade","455","-16531.48","70444"
"Inbound","7/1/20","Downtier","3072","-91100.67","70444"
"Inbound","7/1/20","New Connect","33422","2820713.57","70444"
"Inbound","7/1/20","Transfer","16667","-21637.27","70444"
"Inbound","7/1/20","Upgrade","6506","290387.77","70444"
"Inbound","7/1/20","Uptier","21556","492579.96","70444"
"Inbound","8/1/20","Disconnect","5277","-525650.66","68266"
"Inbound","8/1/20","Downgrade","361","-8618.76","68266"
"Inbound","8/1/20","Downtier","2427","-66223.76","68266"
"Inbound","8/1/20","New Connect","32447","2700280.08","68266"
"Inbound","8/1/20","Transfer","16795","-42416.29","68266"
"Inbound","8/1/20","Upgrade","6087","271155.23","68266"
"Inbound","8/1/20","Uptier","25857","711939.98","68266"
"Inbound","9/1/20","Disconnect","5209","-534933.08","69914"
"Inbound","9/1/20","Downgrade","496","-16093.66","69914"
"Inbound","9/1/20","Downtier","3586","-99477.13","69914"
"Inbound","9/1/20","New Connect","31980","2689182.17","69914"
"Inbound","9/1/20","Transfer","16764","-54218.81","69914"
"Inbound","9/1/20","Upgrade","7242","313939.18","69914"
"Inbound","9/1/20","Uptier","33705","896550.02","69914"
"Inbound","10/1/20","Disconnect","5024","-521510.96","67176"
"Inbound","10/1/20","Downgrade","395","-10759.42","67176"
"Inbound","10/1/20","Downtier","2078","-60970.08","67176"
"Inbound","10/1/20","New Connect","29867","2636580.4","67176"
"Inbound","10/1/20","Transfer","16654","-42104.8","67176"
"Inbound","10/1/20","Upgrade","6454","293416.09","67176"
"Inbound","10/1/20","Uptier","24326","738025.55","67176"
"Inbound","11/1/20","Disconnect","4395","-459606.89","59328"
"Inbound","11/1/20","Downgrade","296","-8032.36","59328"
"Inbound","11/1/20","Downtier","1462","-44083.69","59328"
"Inbound","11/1/20","New Connect","26779","2374748.25","59328"
"Inbound","11/1/20","Transfer","14156","-15880.54","59328"
"Inbound","11/1/20","Upgrade","5611","256292.75","59328"
"Inbound","11/1/20","Uptier","21867","595865.54","59328"
"Inbound","12/1/20","Disconnect","4480","-466198.9","59864"
"Inbound","12/1/20","Downgrade","272","-6531.52","59864"
"Inbound","12/1/20","Downtier","1835","-51512.68","59864"
"Inbound","12/1/20","New Connect","27414","2450846.2","59864"
"Inbound","12/1/20","Transfer","13636","5514.44","59864"
"Inbound","12/1/20","Upgrade","6279","306440.87","59864"
"Inbound","12/1/20","Uptier","26877","667160.54","59864"
"Inbound","1/1/21","Disconnect","4000","-416953.53","55998"
"Inbound","1/1/21","Downgrade","302","-4105.65","55998"
"Inbound","1/1/21","Downtier","1418","-43191.17","55998"
"Inbound","1/1/21","New Connect","27224","2361615.39","55998"
"Inbound","1/1/21","Transfer","11975","-27651.61","55998"
"Inbound","1/1/21","Upgrade","6249","279589.34","55998"
"Inbound","1/1/21","Uptier","23109","589703.67","55998"
"Inbound","2/1/21","Disconnect","3732","-395086.39","52107"
"Inbound","2/1/21","Downgrade","277","-5095.49","52107"
"Inbound","2/1/21","Downtier","1411","-41962.35","52107"
"Inbound","2/1/21","New Connect","24663","2150172","52107"
"Inbound","2/1/21","Transfer","12021","-24769.76","52107"
"Inbound","2/1/21","Upgrade","5441","235363.65","52107"
"Inbound","2/1/21","Uptier","20490","495143.03","52107"
"Inbound","3/1/21","Disconnect","4077","-423068.95","62455"
"Inbound","3/1/21","Downgrade","323","-5006.57","62455"
"Inbound","3/1/21","Downtier","1709","-47614.32","62455"
"Inbound","3/1/21","New Connect","30090","2663814.74","62455"
"Inbound","3/1/21","Transfer","14692","-16526.72","62455"
"Inbound","3/1/21","Upgrade","5653","267257.88","62455"
"Inbound","3/1/21","Uptier","20526","509828.65","62455"
"Inbound","4/1/21","Disconnect","3808","-385048.33","58226"
"Inbound","4/1/21","Downgrade","501","-4510.13","58226"
"Inbound","4/1/21","Downtier","2883","-71669.95","58226"
"Inbound","4/1/21","New Connect","27704","2541642.55","58226"
"Inbound","4/1/21","Transfer","14599","-15231.49","58226"
"Inbound","4/1/21","Upgrade","5042","306094.84","58226"
"Inbound","4/1/21","Uptier","18883","528888.76","58226"
"Inbound","5/1/21","Disconnect","4247","-407998.62","56877"
"Inbound","5/1/21","Downgrade","417","-4468.78","56877"
"Inbound","5/1/21","Downtier","2465","-66069.04","56877"
"Inbound","5/1/21","New Connect","26828","2462626.95","56877"
"Inbound","5/1/21","Transfer","14880","-18729.14","56877"
"Inbound","5/1/21","Upgrade","4622","279694.06","56877"
"Inbound","5/1/21","Uptier","16420","432600.62","56877"
"Inbound","6/1/21","Disconnect","4482","-433084.6","59795"
"Inbound","6/1/21","Downgrade","427","-5619.62","59795"
"Inbound","6/1/21","Downtier","2487","-61023.62","59795"
"Inbound","6/1/21","New Connect","29171","2670012.42","59795"
"Inbound","6/1/21","Transfer","15296","-9801.76","59795"
"Inbound","6/1/21","Upgrade","4577","282131.15","59795"
"Inbound","6/1/21","Uptier","17315","446562.68","59795"
"Inbound","7/1/21","Disconnect","4310","-413502.54","59226"
"Inbound","7/1/21","Downgrade","372","-4890.8","59226"
"Inbound","7/1/21","Downtier","2440","-61126.99","59226"
"Inbound","7/1/21","New Connect","29477","2715308.19","59226"
"Inbound","7/1/21","Transfer","14762","-1386.23","59226"
"Inbound","7/1/21","Upgrade","4861","300538.73","59226"
"Inbound","7/1/21","Uptier","15438","403650.81","59226"
"Inbound","8/1/21","Disconnect","4213","-400404.34","60625"
"Inbound","8/1/21","Downgrade","340","-6361.6","60625"
"Inbound","8/1/21","Downtier","2509","-60577.72","60625"
"Inbound","8/1/21","New Connect","30167","2722562.98","60625"
"Inbound","8/1/21","Transfer","13728","1401.94","60625"
"Inbound","8/1/21","Upgrade","5060","314265.78","60625"
"Inbound","8/1/21","Uptier","19392","465208.92","60625"
"Inbound","9/1/21","Disconnect","3516","-343681.84","51851"
"Inbound","9/1/21","Downgrade","336","-1860.27","51851"
"Inbound","9/1/21","Downtier","2559","-61404.87","51851"
"Inbound","9/1/21","New Connect","25583","2362411.08","51851"
"Inbound","9/1/21","Transfer","12610","-14050.44","51851"
"Inbound","9/1/21","Upgrade","5026","323609.23","51851"
"Inbound","9/1/21","Uptier","22443","543874.08","51851"
"Inbound","10/1/21","Disconnect","3349","-328177.74","51460"
"Inbound","10/1/21","Downgrade","327","-5084.35","51460"
"Inbound","10/1/21","Downtier","2310","-54763.63","51460"
"Inbound","10/1/21","New Connect","25194","2340218.46","51460"
"Inbound","10/1/21","Transfer","12659","-7036.63","51460"
"Inbound","10/1/21","Upgrade","4843","312663.18","51460"
"Inbound","10/1/21","Uptier","16901","499257.63","51460"
"Inbound","11/1/21","Disconnect","2943","-277112.71","49178"
"Inbound","11/1/21","Downgrade","289","-3601.88","49178"
"Inbound","11/1/21","Downtier","1989","-49543.95","49178"
"Inbound","11/1/21","New Connect","24442","2279332.01","49178"
"Inbound","11/1/21","Transfer","11749","-14395.05","49178"
"Inbound","11/1/21","Upgrade","4759","299639.49","49178"
"Inbound","11/1/21","Uptier","15735","423805.85","49178"
"Inbound","12/1/21","Disconnect","2775","-270487.18","47205"
"Inbound","12/1/21","Downgrade","264","-539.8","47205"
"Inbound","12/1/21","Downtier","1953","-45773.54","47205"
"Inbound","12/1/21","New Connect","23770","2210364.55","47205"
"Inbound","12/1/21","Transfer","11183","-9936.88","47205"
"Inbound","12/1/21","Upgrade","4415","281438.26","47205"
"Inbound","12/1/21","Uptier","17572","452700.26","47205"
"Inbound","1/1/22","Disconnect","2658","-258607.6","44211"
"Inbound","1/1/22","Downgrade","349","-2907.85","44211"
"Inbound","1/1/22","Downtier","2100","-51402.04","44211"
"Inbound","1/1/22","New Connect","22989","2105354.72","44211"
"Inbound","1/1/22","Transfer","9687","-11740.72","44211"
"Inbound","1/1/22","Upgrade","4630","286220.15","44211"
"Inbound","1/1/22","Uptier","16626","455283.08","44211"
"Inbound","2/1/22","Disconnect","2338","-226622.37","41424"
"Inbound","2/1/22","Downgrade","294","-534.15","41424"
"Inbound","2/1/22","Downtier","1735","-43357","41424"
"Inbound","2/1/22","New Connect","20857","1951235.06","41424"
"Inbound","2/1/22","Transfer","9665","-4434.34","41424"
"Inbound","2/1/22","Upgrade","4259","263862.38","41424"
"Inbound","2/1/22","Uptier","13994","362773.11","41424"
"Inbound","3/1/22","Disconnect","2476","-228049.8","46309"
"Inbound","3/1/22","Downgrade","300","-4074.29","46309"
"Inbound","3/1/22","Downtier","1706","-42686.24","46309"
"Inbound","3/1/22","New Connect","23813","2194490.05","46309"
"Inbound","3/1/22","Transfer","11169","-7321.7","46309"
"Inbound","3/1/22","Upgrade","4456","268242.25","46309"
"Inbound","3/1/22","Uptier","14247","368330.01","46309"
"Inbound","4/1/22","Disconnect","2206","-208765.03","43212"
"Inbound","4/1/22","Downgrade","245","-3861.67","43212"
"Inbound","4/1/22","Downtier","1921","-42850.23","43212"
"Inbound","4/1/22","New Connect","21558","1993084.16","43212"
"Inbound","4/1/22","Transfer","10945","-25831.03","43212"
"Inbound","4/1/22","Upgrade","4044","243452.37","43212"
"Inbound","4/1/22","Uptier","12125","328742.17","43212"
"Inbound","5/1/22","Disconnect","2781","-258705","43257"
"Inbound","5/1/22","Downgrade","247","-4434.06","43257"
"Inbound","5/1/22","Downtier","1837","-42425.49","43257"
"Inbound","5/1/22","New Connect","21719","1997040.16","43257"
"Inbound","5/1/22","Transfer","10563","-18007.33","43257"
"Inbound","5/1/22","Upgrade","4087","243026.29","43257"
"Inbound","5/1/22","Uptier","11219","295933.46","43257"
"Inbound","6/1/22","Disconnect","2872","-269149.13","45485"
"Inbound","6/1/22","Downgrade","251","-4421.61","45485"
"Inbound","6/1/22","Downtier","1748","-38864.85","45485"
"Inbound","6/1/22","New Connect","23280","2113795.78","45485"
"Inbound","6/1/22","Transfer","11105","-33967.38","45485"
"Inbound","6/1/22","Upgrade","4021","232157.01","45485"
"Inbound","6/1/22","Uptier","11788","309591.88","45485"
"Inbound","7/1/22","Disconnect","2838","-255298.27","44790"
"Inbound","7/1/22","Downgrade","272","-3505.57","44790"
"Inbound","7/1/22","Downtier","1588","-36705.31","44790"
"Inbound","7/1/22","New Connect","23099","2128854.86","44790"
"Inbound","7/1/22","Transfer","11542","-44324.41","44790"
"Inbound","7/1/22","Upgrade","4019","221720.86","44790"
"Inbound","7/1/22","Uptier","11318","310315.05","44790"
"Inbound","8/1/22","Disconnect","3425","-294370.16","48484"
"Inbound","8/1/22","Downgrade","274","-6111.13","48484"
"Inbound","8/1/22","Downtier","2201","-47030.34","48484"
"Inbound","8/1/22","New Connect","27455","2505370.27","48484"
"Inbound","8/1/22","Transfer","10952","-11041.05","48484"
"Inbound","8/1/22","Upgrade","4961","290527.94","48484"
"Inbound","8/1/22","Uptier","16716","462610.89","48484"
"Inbound","9/1/22","Disconnect","2210","-198781.11","43707"
"Inbound","9/1/22","Downgrade","270","-6232.56","43707"
"Inbound","9/1/22","Downtier","2224","-51046.79","43707"
"Inbound","9/1/22","New Connect","22636","2045319.13","43707"
"Inbound","9/1/22","Transfer","10184","-18201.38","43707"
"Inbound","9/1/22","Upgrade","4673","286845.07","43707"
"Inbound","9/1/22","Uptier","15939","471363.87","43707"
"Inbound","10/1/22","Disconnect","2456","-233865.18","40875"
"Inbound","10/1/22","Downgrade","208","-2687.12","40875"
"Inbound","10/1/22","Downtier","1966","-47749.42","40875"
"Inbound","10/1/22","New Connect","21785","2033890","40875"
"Inbound","10/1/22","Transfer","10044","-26092.5","40875"
"Inbound","10/1/22","Upgrade","4324","275004.26","40875"
"Inbound","10/1/22","Uptier","14649","556186.04","40875"
"Inbound","11/1/22","Disconnect","2065","-198277.95","37562"
"Inbound","11/1/22","Downgrade","295","-3871.96","37562"
"Inbound","11/1/22","Downtier","2006","-50264.67","37562"
"Inbound","11/1/22","New Connect","20077","1858040.56","37562"
"Inbound","11/1/22","Transfer","8986","-17972.31","37562"
"Inbound","11/1/22","Upgrade","4037","249586.58","37562"
"Inbound","11/1/22","Uptier","11639","337519.47","37562"
"Inbound","12/1/22","Disconnect","2096","-201194.25","36594"
"Inbound","12/1/22","Downgrade","295","-3874.2","36594"
"Inbound","12/1/22","Downtier","2008","-50293.82","36594"
"Inbound","12/1/22","New Connect","20199","1869334.08","36594"
"Inbound","12/1/22","Transfer","8823","-17645.96","36594"
"Inbound","12/1/22","Upgrade","4022","248643.32","36594"
"Inbound","12/1/22","Uptier","11480","332910.26","36594"
"Inbound","1/1/23","Disconnect","2027","-194570.38","42209"
"Inbound","1/1/23","Downgrade","288","-3787.95","42209"
"Inbound","1/1/23","Downtier","1376","-34483.74","42209"
"Inbound","1/1/23","New Connect","24848","2288904.67","42209"
"Inbound","1/1/23","Transfer","14025","-28049.39","42209"
"Inbound","1/1/23","Upgrade","3760","232469.6","42209"
"Inbound","1/1/23","Uptier","11224","325498.32","42209"
"Inbound","2/1/23","Disconnect","1922","-184465.24","39044"
"Inbound","2/1/23","Downgrade","267","-3504.22","39044"
"Inbound","2/1/23","Downtier","1273","-31900.77","39044"
"Inbound","2/1/23","New Connect","22374","2060950.12","39044"
"Inbound","2/1/23","Transfer","13656","-27311.13","39044"
"Inbound","2/1/23","Upgrade","3478","215056.72","39044"
"Inbound","2/1/23","Uptier","10383","301117.23","39044"
"Inbound","3/1/23","Disconnect","2232","-214297.54","44099"
"Inbound","3/1/23","Downgrade","308","-4055.43","44099"
"Inbound","3/1/23","Downtier","1474","-36918.8","44099"
"Inbound","3/1/23","New Connect","25586","2356719.04","44099"
"Inbound","3/1/23","Transfer","16199","-32398.58","44099"
"Inbound","3/1/23","Upgrade","4026","248885.37","44099"
"Inbound","3/1/23","Uptier","12017","348483.28","44099"
"Inbound","4/1/23","Disconnect","2246","-215632.9","42984"
"Inbound","4/1/23","Downgrade","299","-3936.55","42984"
"Inbound","4/1/23","Downtier","1430","-35836.55","42984"
"Inbound","4/1/23","New Connect","25056","2306975.03","42984"
"Inbound","4/1/23","Transfer","16061","-32122.34","42984"
"Inbound","4/1/23","Upgrade","3908","241589.47","42984"
"Inbound","4/1/23","Uptier","11551","334983.59","42984"
"Inbound","5/1/23","Disconnect","2521","-242003.2","46357"
"Inbound","5/1/23","Downgrade","319","-4193.67","46357"
"Inbound","5/1/23","Downtier","1524","-38177.21","46357"
"Inbound","5/1/23","New Connect","26768","2464959.56","46357"
"Inbound","5/1/23","Transfer","16639","-33277.2","46357"
"Inbound","5/1/23","Upgrade","4163","257368.88","46357"
"Inbound","5/1/23","Uptier","12306","356863.03","46357"
"Inbound","6/1/23","Disconnect","2746","-263629.08","49283"
"Inbound","6/1/23","Downgrade","342","-4499.29","49283"
"Inbound","6/1/23","Downtier","1635","-40959.49","49283"
"Inbound","6/1/23","New Connect","29269","2695247.16","49283"
"Inbound","6/1/23","Transfer","16932","-33864.26","49283"
"Inbound","6/1/23","Upgrade","4466","276125.41","49283"
"Inbound","6/1/23","Uptier","13202","382870.5","49283"
"Inbound","7/1/23","Disconnect","2661","-255427.49","50903"
"Inbound","7/1/23","Downgrade","353","-4644.2","50903"
"Inbound","7/1/23","Downtier","1688","-42278.63","50903"
"Inbound","7/1/23","New Connect","30183","2779811.39","50903"
"Inbound","7/1/23","Transfer","17282","-34564.31","50903"
"Inbound","7/1/23","Upgrade","4610","285018.3","50903"
"Inbound","7/1/23","Uptier","13628","395201.22","50903"
"Inbound","8/1/23","Disconnect","2619","-251445.46","55810"
"Inbound","8/1/23","Downgrade","390","-5127.68","55810"
"Inbound","8/1/23","Downtier","1863","-46680.08","55810"
"Inbound","8/1/23","New Connect","34510","3178708.44","55810"
"Inbound","8/1/23","Transfer","17083","-34166.03","55810"
"Inbound","8/1/23","Upgrade","5090","314690.31","55810"
"Inbound","8/1/23","Uptier","14899","432066.02","55810"
"Inbound","9/1/23","Disconnect","2237","-214769.41","44152"
"Inbound","9/1/23","Downgrade","323","-4249.51","44152"
"Inbound","9/1/23","Downtier","1544","-38685.57","44152"
"Inbound","9/1/23","New Connect","28059","2584674.22","44152"
"Inbound","9/1/23","Transfer","14779","-29558.82","44152"
"Inbound","9/1/23","Upgrade","4218","260795.92","44152"
"Inbound","9/1/23","Uptier","12347","358069.66","44152"
"Inbound","10/1/23","Disconnect","2226","-213714.92","44125"
"Inbound","10/1/23","Downgrade","316","-4160.44","44125"
"Inbound","10/1/23","Downtier","1512","-37874.78","44125"
"Inbound","10/1/23","New Connect","27217","2507288.71","44125"
"Inbound","10/1/23","Transfer","14614","-29227.63","44125"
"Inbound","10/1/23","Upgrade","4130","255330.08","44125"
"Inbound","10/1/23","Uptier","12088","350565.13","44125"
"Inbound","11/1/23","Disconnect","2094","-201046.59","44295"
"Inbound","11/1/23","Downgrade","300","-3937.67","44295"
"Inbound","11/1/23","Downtier","1431","-35846.77","44295"
"Inbound","11/1/23","New Connect","26008","2396072.27","44295"
"Inbound","11/1/23","Transfer","13203","-26406.69","44295"
"Inbound","11/1/23","Upgrade","3909","241658.38","44295"
"Inbound","11/1/23","Uptier","11328","328508.96","44295"
"Inbound","12/1/23","Disconnect","2057","-197477.05","41449"
"Inbound","12/1/23","Downgrade","290","-3811.2","41449"
"Inbound","12/1/23","Downtier","1385","-34695.38","41449"
"Inbound","12/1/23","New Connect","25098","2312385.3","41449"
"Inbound","12/1/23","Transfer","12665","-25330.7","41449"
"Inbound","12/1/23","Upgrade","3783","233896.35","41449"
"Inbound","12/1/23","Uptier","10964","317957.3","41449"
"Lead Referral","1/1/19","Disconnect","1037","-88462.14","3414"
"Lead Referral","1/1/19","Downgrade","370","-6398.37","3414"
"Lead Referral","1/1/19","Downtier","596","-20771.46","3414"
"Lead Referral","1/1/19","New Connect","2346","217074.46","3414"
"Lead Referral","1/1/19","Transfer","325","-3288.38","3414"
"Lead Referral","1/1/19","Upgrade","138","2732.58","3414"
"Lead Referral","1/1/19","Uptier","748","39429.21","3414"
"Lead Referral","2/1/19","Disconnect","715","-64412.07","3499"
"Lead Referral","2/1/19","Downgrade","297","-6408.67","3499"
"Lead Referral","2/1/19","Downtier","367","-19339.12","3499"
"Lead Referral","2/1/19","New Connect","1901","182865.37","3499"
"Lead Referral","2/1/19","Transfer","399","-2361.92","3499"
"Lead Referral","2/1/19","Upgrade","383","3486.39","3499"
"Lead Referral","2/1/19","Uptier","552","31556.75","3499"
"Lead Referral","3/1/19","Disconnect","625","-67716","3646"
"Lead Referral","3/1/19","Downgrade","328","-4835.38","3646"
"Lead Referral","3/1/19","Downtier","411","-18786.83","3646"
"Lead Referral","3/1/19","New Connect","2491","224010.44","3646"
"Lead Referral","3/1/19","Transfer","477","-4127.71","3646"
"Lead Referral","3/1/19","Upgrade","167","2683.49","3646"
"Lead Referral","3/1/19","Uptier","886","37299.89","3646"
"Lead Referral","4/1/19","Disconnect","781","-76316.69","3283"
"Lead Referral","4/1/19","Downgrade","619","-19016.34","3283"
"Lead Referral","4/1/19","Downtier","495","-20018.4","3283"
"Lead Referral","4/1/19","New Connect","2982","270827.43","3283"
"Lead Referral","4/1/19","Transfer","425","-1172.13","3283"
"Lead Referral","4/1/19","Upgrade","97","1526.92","3283"
"Lead Referral","4/1/19","Uptier","534","25004.14","3283"
"Lead Referral","5/1/19","Disconnect","1056","-105475.04","4050"
"Lead Referral","5/1/19","Downgrade","310","-6385.07","4050"
"Lead Referral","5/1/19","Downtier","1506","-51380.97","4050"
"Lead Referral","5/1/19","New Connect","2521","240144.22","4050"
"Lead Referral","5/1/19","Transfer","461","-564.57","4050"
"Lead Referral","5/1/19","Upgrade","104","2789.91","4050"
"Lead Referral","5/1/19","Uptier","471","26936.54","4050"
"Lead Referral","6/1/19","Disconnect","631","-67823.45","3809"
"Lead Referral","6/1/19","Downgrade","223","-5793.72","3809"
"Lead Referral","6/1/19","Downtier","1321","-87776.19","3809"
"Lead Referral","6/1/19","New Connect","4397","371154.89","3809"
"Lead Referral","6/1/19","Transfer","428","-5471.24","3809"
"Lead Referral","6/1/19","Upgrade","201","1728.94","3809"
"Lead Referral","6/1/19","Uptier","446","19609.5","3809"
"Lead Referral","7/1/19","Disconnect","2881","-248693.66","3705"
"Lead Referral","7/1/19","Downgrade","608","-19214.67","3705"
"Lead Referral","7/1/19","Downtier","720","-61659.28","3705"
"Lead Referral","7/1/19","New Connect","4773","372129.15","3705"
"Lead Referral","7/1/19","Transfer","450","-704.18","3705"
"Lead Referral","7/1/19","Upgrade","192","3044.32","3705"
"Lead Referral","7/1/19","Uptier","633","35926.33","3705"
"Lead Referral","8/1/19","Disconnect","6252","-544642.03","3439"
"Lead Referral","8/1/19","Downgrade","360","-10589.95","3439"
"Lead Referral","8/1/19","Downtier","1551","-103527.01","3439"
"Lead Referral","8/1/19","New Connect","2682","240591.9","3439"
"Lead Referral","8/1/19","Transfer","375","-2523.26","3439"
"Lead Referral","8/1/19","Upgrade","175","3529.22","3439"
"Lead Referral","8/1/19","Uptier","496","16632.23","3439"
"Lead Referral","9/1/19","Disconnect","2630","-247733.88","3289"
"Lead Referral","9/1/19","Downgrade","414","-4106.83","3289"
"Lead Referral","9/1/19","Downtier","458","-24730","3289"
"Lead Referral","9/1/19","New Connect","3019","230164.92","3289"
"Lead Referral","9/1/19","Transfer","345","-1910.21","3289"
"Lead Referral","9/1/19","Upgrade","236","1134.24","3289"
"Lead Referral","9/1/19","Uptier","312","18323.4","3289"
"Lead Referral","10/1/19","Disconnect","953","-91870.45","2695"
"Lead Referral","10/1/19","Downgrade","408","-7043.07","2695"
"Lead Referral","10/1/19","Downtier","363","-11783.24","2695"
"Lead Referral","10/1/19","New Connect","10502","789211.94","2695"
"Lead Referral","10/1/19","Transfer","311","-1700.52","2695"
"Lead Referral","10/1/19","Upgrade","142","3494.86","2695"
"Lead Referral","10/1/19","Uptier","358","16176.77","2695"
"Lead Referral","11/1/19","Disconnect","905","-79198.28","2393"
"Lead Referral","11/1/19","Downgrade","256","-8254.26","2393"
"Lead Referral","11/1/19","Downtier","250","-8504.69","2393"
"Lead Referral","11/1/19","New Connect","9138","643701.27","2393"
"Lead Referral","11/1/19","Transfer","291","-1411.92","2393"
"Lead Referral","11/1/19","Upgrade","256","1279.79","2393"
"Lead Referral","11/1/19","Uptier","310","13894.7","2393"
"Lead Referral","12/1/19","Disconnect","683","-66753.19","2352"
"Lead Referral","12/1/19","Downgrade","265","-5757.2","2352"
"Lead Referral","12/1/19","Downtier","200","-6682.42","2352"
"Lead Referral","12/1/19","New Connect","5992","436248.31","2352"
"Lead Referral","12/1/19","Transfer","207","-1590.93","2352"
"Lead Referral","12/1/19","Upgrade","495","2481.24","2352"
"Lead Referral","12/1/19","Uptier","462","20752","2352"
"Lead Referral","1/1/20","Disconnect","1181","-111719.01","2670"
"Lead Referral","1/1/20","Downgrade","351","-10741.16","2670"
"Lead Referral","1/1/20","Downtier","853","-15643.27","2670"
"Lead Referral","1/1/20","New Connect","5039","410337.95","2670"
"Lead Referral","1/1/20","Transfer","211","109.37","2670"
"Lead Referral","1/1/20","Upgrade","244","3320.38","2670"
"Lead Referral","1/1/20","Uptier","537","37191.57","2670"
"Lead Referral","2/1/20","Disconnect","2003","-166533.6","2025"
"Lead Referral","2/1/20","Downgrade","284","-8485.36","2025"
"Lead Referral","2/1/20","Downtier","572","-10173.5","2025"
"Lead Referral","2/1/20","New Connect","4650","380197","2025"
"Lead Referral","2/1/20","Transfer","261","-5429.87","2025"
"Lead Referral","2/1/20","Upgrade","149","2395.4","2025"
"Lead Referral","2/1/20","Uptier","599","26958.11","2025"
"Lead Referral","3/1/20","Disconnect","1865","-178056.16","2513"
"Lead Referral","3/1/20","Downgrade","446","-11431.83","2513"
"Lead Referral","3/1/20","Downtier","608","-25068.19","2513"
"Lead Referral","3/1/20","New Connect","6143","479339.65","2513"
"Lead Referral","3/1/20","Transfer","310","-2811.56","2513"
"Lead Referral","3/1/20","Upgrade","412","11015.52","2513"
"Lead Referral","3/1/20","Uptier","1230","55993.81","2513"
"Lead Referral","4/1/20","Disconnect","1538","-152414.86","2001"
"Lead Referral","4/1/20","Downgrade","283","-10211.16","2001"
"Lead Referral","4/1/20","Downtier","503","-24293.66","2001"
"Lead Referral","4/1/20","New Connect","5789","448396.5","2001"
"Lead Referral","4/1/20","Transfer","291","-5674.93","2001"
"Lead Referral","4/1/20","Upgrade","268","8402.8","2001"
"Lead Referral","4/1/20","Uptier","1139","37944.99","2001"
"Lead Referral","5/1/20","Disconnect","3739","-331102.04","1900"
"Lead Referral","5/1/20","Downgrade","233","-8410.55","1900"
"Lead Referral","5/1/20","Downtier","511","-24858.2","1900"
"Lead Referral","5/1/20","New Connect","6115","504416.84","1900"
"Lead Referral","5/1/20","Transfer","295","-5042.34","1900"
"Lead Referral","5/1/20","Upgrade","236","8094.29","1900"
"Lead Referral","5/1/20","Uptier","738","34686.22","1900"
"Lead Referral","6/1/20","Disconnect","7059","-597702.08","2588"
"Lead Referral","6/1/20","Downgrade","576","-38719.08","2588"
"Lead Referral","6/1/20","Downtier","1620","-129187.6","2588"
"Lead Referral","6/1/20","New Connect","6370","526696.64","2588"
"Lead Referral","6/1/20","Transfer","295","-2131.62","2588"
"Lead Referral","6/1/20","Upgrade","825","11030.03","2588"
"Lead Referral","6/1/20","Uptier","927","48013.39","2588"
"Lead Referral","7/1/20","Disconnect","1841","-162456.44","2317"
"Lead Referral","7/1/20","Downgrade","373","-13661.5","2317"
"Lead Referral","7/1/20","Downtier","385","-21710.3","2317"
"Lead Referral","7/1/20","New Connect","6695","548134.34","2317"
"Lead Referral","7/1/20","Transfer","304","-8947.07","2317"
"Lead Referral","7/1/20","Upgrade","359","12806.6","2317"
"Lead Referral","7/1/20","Uptier","1517","79263.56","2317"
"Lead Referral","8/1/20","Disconnect","7137","-640358.4","2663"
"Lead Referral","8/1/20","Downgrade","512","-21490.01","2663"
"Lead Referral","8/1/20","Downtier","795","-43525.49","2663"
"Lead Referral","8/1/20","New Connect","7710","613204.89","2663"
"Lead Referral","8/1/20","Transfer","344","-437.25","2663"
"Lead Referral","8/1/20","Upgrade","449","14354.72","2663"
"Lead Referral","8/1/20","Uptier","2392","101519.07","2663"
"Lead Referral","9/1/20","Disconnect","2759","-247607.78","2515"
"Lead Referral","9/1/20","Downgrade","285","-7349.01","2515"
"Lead Referral","9/1/20","Downtier","425","-14837.02","2515"
"Lead Referral","9/1/20","New Connect","6300","520182.91","2515"
"Lead Referral","9/1/20","Transfer","307","-242.89","2515"
"Lead Referral","9/1/20","Upgrade","340","11959.28","2515"
"Lead Referral","9/1/20","Uptier","1291","51130.08","2515"
"Lead Referral","10/1/20","Disconnect","5817","-504081.22","2319"
"Lead Referral","10/1/20","Downgrade","204","-5729.79","2319"
"Lead Referral","10/1/20","Downtier","361","-19250.82","2319"
"Lead Referral","10/1/20","New Connect","5478","463047.45","2319"
"Lead Referral","10/1/20","Transfer","364","-1173.28","2319"
"Lead Referral","10/1/20","Upgrade","354","16476.71","2319"
"Lead Referral","10/1/20","Uptier","1191","52069.78","2319"
"Lead Referral","11/1/20","Disconnect","1390","-128875.01","1677"
"Lead Referral","11/1/20","Downgrade","211","-5797.04","1677"
"Lead Referral","11/1/20","Downtier","352","-17032.39","1677"
"Lead Referral","11/1/20","New Connect","6275","497074.44","1677"
