"CUSTOMER_CATEGORY_DESC","E2E_FINAL_TREATMENT","customer_status_cd","contact_date","Type","channel","customer_key","contact_id","subcontact_id","total_agents","interactions","self_service","chat_count","call_count"
"CB PLATINUM","Diamond","A","2023-09-01","Single/Mutiple Relation Location","Phone First","10","10","11","7","18","4","0","7"
"CB SILVER","Silver","A","2023-09-01","Single/Mutiple Relation Location","Digital First","3211","3211","4157","318","8968","3901","158","160"
"CB SILVER","Bronze","A","2023-09-01","Single/Mutiple Account Location","Digital First","9","9","10","3","17","7","0","3"
"CB SILVER","Silver","A","2023-09-01","Single/Mutiple Account Location","Phone First","1882","1882","2200","1621","4643","834","7","1614"
"CB SILVER","Diamond","A","2023-09-01","Single/Mutiple Account Location","Digital First","10","10","11","2","21","10","0","2"
"CB SILVER","Silver","A","2023-09-01","Single/Mutiple Account Location","Digital First","3211","3211","4157","318","8968","3901","158","160"
"CB SILVER","Diamond","A","2023-09-01","Single/Mutiple Relation Location","Phone First","12","12","14","14","32","2","1","13"
"CB SILVER","Diamond","A","2023-09-01","Single/Mutiple Relation Location","Digital First","10","10","11","2","21","10","0","2"
"CB SILVER","Diamond","A","2023-09-01","Single/Mutiple Account Location","Phone First","12","12","14","14","32","2","1","13"
"CB SILVER","Bronze","A","2023-09-01","Single/Mutiple Relation Location","Digital First","9","9","10","3","17","7","0","3"
"CB SILVER","Bronze","A","2023-09-01","Single/Mutiple Account Location","Phone First","9","9","10","9","22","2","0","9"
"CB SILVER","Bronze","A","2023-09-01","Single/Mutiple Relation Location","Phone First","9","9","10","9","22","2","0","9"
"CB SILVER","Silver","A","2023-09-01","Single/Mutiple Relation Location","Phone First","1882","1882","2200","1621","4643","834","7","1614"
"COLLECTIONS ASSISTANCE","Silver","A","2023-09-01","Single/Mutiple Account Location","Phone First","3","3","3","4","14","2","0","4"
"COLLECTIONS ASSISTANCE","Silver","A","2023-09-01","Single/Mutiple Account Location","Digital First","4","4","4","1","12","3","0","1"
"COLLECTIONS ASSISTANCE","Bronze","A","2023-09-01","Single/Mutiple Relation Location","Phone First","1","1","1","0","1","1","0","0"
